sample_id,Zr,Zr_err,Sr,Sr_err,Rb,Rb_err,Zn,Zn_err,Mn,Mn_err,Ti,source,site,notes,verification_flag,paper,year,method,method_tier,units
4,211.0,6.0,82.0,3.0,200.0,5.0,42.0,8.0,379.0,46.0,301.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
5,217.0,6.0,81.0,3.0,199.0,5.0,41.0,8.0,364.0,46.0,290.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
6,187.0,6.0,69.0,3.0,170.0,5.0,36.0,8.0,323.0,46.0,249.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
7,195.0,6.0,67.0,3.0,177.0,4.0,42.0,7.0,383.0,43.0,296.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Mean,200.0,,73.0,,184.0,,38.0,,357.0,,308.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
St_Dev,18.0,,7.0,,15.0,,4.0,,27.0,,38.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
%RSD,0.09,,0.09,,0.08,,0.11,,0.08,,0.12,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Obsidian_specimens_from_collection_area_EA30,,,,,,,,,,,,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
1,441.0,7.0,19.0,2.0,184.0,4.0,71.0,7.0,372.0,38.0,437.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
2,409.0,6.0,17.0,2.0,172.0,4.0,101.0,8.0,367.0,37.0,356.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
3,407.0,6.0,17.0,2.0,175.0,4.0,66.0,7.0,388.0,38.0,435.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
4,383.0,7.0,16.0,2.0,165.0,4.0,59.0,8.0,321.0,39.0,300.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
5,517.0,9.0,24.0,2.0,225.0,5.0,86.0,10.0,511.0,54.0,302.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
6,467.0,7.0,23.0,2.0,201.0,4.0,101.0,9.0,391.0,41.0,369.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
7,474.0,9.0,23.0,2.0,203.0,5.0,79.0,10.0,409.0,52.0,257.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Mean,443.0,,20.0,,189.0,,80.0,,394.0,,351.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
St_Dev,47.0,,3.0,,21.0,,16.0,,59.0,,69.0,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
%RSD,0.11,,0.17,,0.11,,0.2,,0.15,,0.2,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
Obsidian_specimens_from_collection_area_EA36,,,,,,,,,,,,EGD,Tell Mozan,,False,Frahm 2013,2013,pXRF (HHpXRF),1,ppm
