paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-269,ppm,Kenan Tepe artifacts grouped by assigned source,231.0,0.0,,1359.0,70.0,967.0,485.0,24042.0,215.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-271,ppm,Kenan Tepe artifacts grouped by assigned source,200.0,0.0,,1247.0,63.0,841.0,532.0,20794.0,182.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-272,ppm,Kenan Tepe artifacts grouped by assigned source,214.0,0.0,,1285.0,66.0,868.0,634.0,21721.0,205.0,,0.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-274,ppm,Kenan Tepe artifacts grouped by assigned source,197.0,0.0,,1237.0,65.0,837.0,666.0,21046.0,175.0,,0.0,24.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-275,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1290.0,65.0,898.0,499.0,21418.0,189.0,,0.0,20.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-277,ppm,Kenan Tepe artifacts grouped by assigned source,189.0,0.0,,1200.0,61.0,768.0,576.0,19047.0,165.0,,0.0,23.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-278,ppm,Kenan Tepe artifacts grouped by assigned source,216.0,0.0,,1322.0,66.0,943.0,539.0,21835.0,204.0,,0.0,35.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-291,ppm,Kenan Tepe artifacts grouped by assigned source,230.0,0.0,,1382.0,72.0,1055.0,546.0,24325.0,217.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-293,ppm,Kenan Tepe artifacts grouped by assigned source,201.0,0.0,,1254.0,63.0,852.0,551.0,20999.0,189.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-294,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1281.0,68.0,888.0,529.0,21644.0,193.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-301,ppm,Kenan Tepe artifacts grouped by assigned source,200.0,0.0,,1257.0,65.0,896.0,476.0,20954.0,202.0,,0.0,27.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-302,ppm,Kenan Tepe artifacts grouped by assigned source,190.0,0.0,,1190.0,59.0,817.0,557.0,19528.0,175.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-303,ppm,Kenan Tepe artifacts grouped by assigned source,210.0,0.0,,1291.0,66.0,806.0,583.0,21487.0,203.0,,0.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-310,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1251.0,64.0,860.0,593.0,20203.0,183.0,,84.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-313,ppm,Kenan Tepe artifacts grouped by assigned source,206.0,0.0,,1247.0,65.0,814.0,672.0,20599.0,198.0,,119.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-317,ppm,Kenan Tepe artifacts grouped by assigned source,208.0,0.0,,1253.0,64.0,851.0,500.0,20883.0,177.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-345,ppm,Kenan Tepe artifacts grouped by assigned source,207.0,0.0,,1260.0,62.0,850.0,492.0,20777.0,190.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-348,ppm,Kenan Tepe artifacts grouped by assigned source,206.0,0.0,,1260.0,64.0,865.0,510.0,21080.0,197.0,,0.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-360,ppm,Kenan Tepe artifacts grouped by assigned source,218.0,0.0,,1332.0,70.0,926.0,510.0,22587.0,196.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-363,ppm,Kenan Tepe artifacts grouped by assigned source,212.0,0.0,,1289.0,65.0,896.0,499.0,21464.0,180.0,,0.0,28.0,
