object_id,site,locus,basket,n_readings,sides,ungroupable,Rb_ppm,Zr_ppm,Nb_ppm,Fe_ppm,Ti_ppm,Mn_ppm,Rb_Zr,Rb_Nb,Zr_Nb,worst_disagreement_fold,agree_score,cover_score,dirt_score,bal_score,n_score,notes,quality,quality_band
motza | 4050 | 40816,motza,4050,40816,2,dorsal+ventral,False,90.0,65.0,20.0,6845.0,550.0,,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 4050 | 40822,motza,4050,40822,4,dorsal+ventral,False,85.0,60.0,20.0,7860.0,795.0,190.0,1.4166666666666665,4.25,3.0,1.1666666666666667,1.0,0.8,0.4,0.8999999999999999,1.0,,0.8450000000000001,high
motza | 4050 | 40822CTE,motza,4050,40822CTE,2,dorsal+ventral,False,80.0,65.0,20.0,6530.0,525.0,130.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40822a,motza,4050,40822a,2,dorsal+ventral,False,110.0,70.0,30.0,8315.0,545.0,265.0,1.5714285714285714,3.6666666666666665,2.3333333333333335,1.0,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4050 | 40822b,motza,4050,40822b,2,dorsal+ventral,False,105.0,75.0,30.0,9920.0,1135.0,290.0,1.4017857142857144,3.5,2.5,1.1428571428571428,1.0,0.8,0.3,1.0,1.0,,0.8450000000000001,high
motza | 4050 | 40822c,motza,4050,40822c,2,dorsal+ventral,False,105.0,70.0,30.0,8905.0,830.0,220.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40822d,motza,4050,40822d,2,dorsal+ventral,False,95.0,70.0,30.0,8330.0,675.0,200.0,1.3571428571428572,3.1666666666666665,2.3333333333333335,1.1111111111111112,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4050 | 40822e,motza,4050,40822e,2,dorsal+ventral,False,110.0,75.0,30.0,8805.0,560.0,335.0,1.4732142857142856,3.6666666666666665,2.5,1.1428571428571428,1.0,0.6,0.5,0.6000000000000001,1.0,,0.7649999999999999,high
motza | 4050 | 40822f,motza,4050,40822f,2,dorsal+ventral,False,95.0,70.0,20.0,7920.0,720.0,220.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40835,motza,4050,40835,4,dorsal+ventral,False,90.0,65.0,25.0,7520.0,585.0,250.0,1.3333333333333333,3.833333333333333,3.0,1.5,0.7,0.45,0.3,0.75,1.0,,0.6149999999999999,medium
motza | 4050 | 40984a,motza,4050,40984a,2,dorsal+ventral,False,120.0,80.0,30.0,12800.0,1070.0,585.0,1.507936507936508,4.0,2.6666666666666665,1.2857142857142858,1.0,0.1,0.5,0.4,1.0,,0.61,medium
motza | 4050 | 40984b,motza,4050,40984b,2,dorsal+ventral,False,85.0,60.0,20.0,6150.0,470.0,130.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.8,0.5,0.9,1.0,,0.86,high
motza | 4050 | 40989,motza,4050,40989,2,dorsal+ventral,False,100.0,70.0,30.0,7325.0,495.0,220.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 40991,motza,4050,40991,2,dorsal+ventral,False,90.0,60.0,20.0,6010.0,505.0,130.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41003,motza,4050,41003,2,dorsal+ventral,False,90.0,75.0,20.0,7875.0,700.0,180.0,1.2053571428571428,4.5,3.75,1.1428571428571428,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4050 | 41005a,motza,4050,41005a,2,dorsal+ventral,False,90.0,70.0,20.0,6410.0,345.0,170.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,0.4,1.0,,0.735,medium
