object_id,site,locus,basket,n_readings,sides,ungroupable,Rb_ppm,Zr_ppm,Nb_ppm,Fe_ppm,Ti_ppm,Mn_ppm,Rb_Zr,Rb_Nb,Zr_Nb,worst_disagreement_fold,agree_score,cover_score,dirt_score,bal_score,n_score,notes,quality,quality_band
motza | 4060 | 40997,motza,4060,40997,2,dorsal+ventral,False,80.0,60.0,20.0,6375.0,495.0,245.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.4,1.0,1.0,,0.9099999999999999,high
motza | 4062 | 41121,motza,4062,41121,2,dorsal+ventral,False,100.0,70.0,25.0,7185.0,515.0,190.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4062 | 41129,motza,4062,41129,2,dorsal+ventral,False,85.0,65.0,20.0,5900.0,385.0,180.0,1.3214285714285712,4.25,3.25,1.1666666666666667,1.0,1.0,0.5,0.9,1.0,,0.9099999999999999,high
motza | 4062 | 41137,motza,4062,41137,2,dorsal+ventral,False,80.0,60.0,20.0,8355.0,995.0,205.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4062 | 41150,motza,4062,41150,2,dorsal+ventral,False,75.0,60.0,20.0,5350.0,355.0,220.0,1.25,3.75,3.0,1.1428571428571428,1.0,1.0,0.5,0.9,1.0,,0.9099999999999999,high
motza | 4062 | 41153,motza,4062,41153,2,dorsal+ventral,False,85.0,60.0,20.0,6605.0,505.0,150.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4062 | 41163a,motza,4062,41163a,2,dorsal+ventral,False,90.0,70.0,20.0,6685.0,380.0,165.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4062 | 41163b,motza,4062,41163b,2,dorsal+ventral,False,85.0,60.0,20.0,5585.0,325.0,130.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 4062 | 41163c,motza,4062,41163c,2,dorsal+ventral,False,90.0,75.0,20.0,6725.0,425.0,155.0,1.2053571428571428,4.5,3.75,1.1428571428571428,1.0,0.6,0.5,0.6000000000000001,1.0,,0.7649999999999999,high
motza | 4062 | 41173,motza,4062,41173,2,dorsal+ventral,False,105.0,70.0,30.0,7735.0,450.0,235.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4062 | 41181,motza,4062,41181,4,dorsal+ventral,False,95.0,70.0,25.0,8415.0,560.0,330.0,1.3541666666666665,4.0,2.833333333333333,1.5,0.7,0.8,0.5,0.7,1.0,,0.7249999999999999,medium
motza | 4062 | 41211,motza,4062,41211,2,dorsal+ventral,False,115.0,75.0,30.0,10740.0,965.0,375.0,1.5357142857142856,3.833333333333333,2.5,1.1428571428571428,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 4063 | 41131,motza,4063,41131,2,dorsal+ventral,False,100.0,70.0,30.0,7290.0,475.0,185.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.3,0.5,1.0,1.0,,0.75,high
motza | 4063 | 41131CTE,motza,4063,41131CTE,4,dorsal+ventral,False,80.0,60.0,20.0,6745.0,480.0,290.0,1.3333333333333333,4.0,3.0,1.1428571428571428,1.0,1.0,0.3,0.7,1.0,,0.85,high
motza | 4064 | 41123CTE,motza,4064,41123CTE,2,dorsal+ventral,False,95.0,65.0,20.0,6805.0,485.0,210.0,1.4642857142857142,4.75,3.25,1.1666666666666667,1.0,1.0,0.4,0.9,1.0,,0.8949999999999999,high
motza | 4064 | 41135,motza,4064,41135,2,dorsal+ventral,False,110.0,75.0,30.0,10435.0,965.0,340.0,1.4732142857142856,3.6666666666666665,2.5,1.1428571428571428,1.0,0.3,0.5,0.8,1.0,,0.72,medium
motza | 4064 | 41135CTE,motza,4064,41135CTE,2,dorsal+ventral,False,80.0,60.0,20.0,5880.0,430.0,195.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4064 | 41135PE,motza,4064,41135PE,2,dorsal+ventral,False,85.0,60.0,20.0,5945.0,430.0,245.0,1.4166666666666665,4.25,3.0,1.125,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4065 | 41157,motza,4065,41157,2,dorsal+ventral,False,85.0,65.0,20.0,6165.0,460.0,125.0,1.3095238095238093,4.25,3.25,1.1666666666666667,1.0,1.0,0.3,0.8,1.0,,0.865,high
motza | 4065 | 41157a,motza,4065,41157a,2,dorsal+ventral,False,110.0,80.0,30.0,11790.0,1290.0,340.0,1.375,3.6666666666666665,2.6666666666666665,1.0,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4065 | 41157b,motza,4065,41157b,2,dorsal+ventral,False,90.0,65.0,20.0,6435.0,460.0,180.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 4065 | 41157c,motza,4065,41157c,4,dorsal+ventral,False,100.0,100.0,30.0,7670.0,505.0,245.0,1.0833333333333333,3.3333333333333335,3.333333333333333,1.5,0.7,0.8,0.3,1.0,1.0,,0.7399999999999999,medium
motza | 4069 | 41178,motza,4069,41178,2,dorsal+ventral,False,125.0,80.0,35.0,14265.0,1080.0,840.0,1.5625,3.625,2.333333333333333,1.0833333333333333,1.0,0.3,0.5,0.4,1.0,,0.66,medium
motza | 4070 | 40330,motza,4070,40330,2,dorsal+ventral,False,90.0,70.0,20.0,6765.0,465.0,145.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4070 | 41196,motza,4070,41196,2,dorsal+ventral,False,85.0,65.0,20.0,6325.0,470.0,,1.3214285714285712,4.25,3.25,1.1666666666666667,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4070 | 41198,motza,4070,41198,4,dorsal+ventral,False,120.0,105.0,30.0,11205.0,740.0,465.0,1.1454545454545455,4.0,3.5,1.2222222222222223,1.0,0.6,0.3,0.4,1.0,,0.705,medium
motza | 4070 | 41217,motza,4070,41217,6,dorsal+ventral,False,85.0,60.0,20.0,6205.0,430.0,160.0,1.4166666666666665,4.0,3.0,1.5,0.7,0.8666666666666667,0.4666666666666666,0.8999999999999999,1.0,,0.7666666666666666,high
motza | 4070 | 41217a,motza,4070,41217a,2,dorsal+ventral,False,90.0,65.0,20.0,6790.0,415.0,150.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 4070 | 41217b,motza,4070,41217b,2,dorsal+ventral,False,95.0,75.0,25.0,7875.0,640.0,160.0,1.2767857142857144,4.0,3.083333333333333,1.1428571428571428,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4070 | 41217c,motza,4070,41217c,2,dorsal+ventral,False,100.0,70.0,25.0,7575.0,615.0,180.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,1.0,0.4,1.0,1.0,,0.9099999999999999,high
motza | 4070 | 41217d,motza,4070,41217d,2,dorsal+ventral,False,110.0,70.0,30.0,8875.0,615.0,290.0,1.5714285714285714,3.6666666666666665,2.3333333333333335,1.0,1.0,0.3,0.5,0.9,1.0,,0.735,medium
motza | 4070 | 41217e,motza,4070,41217e,2,dorsal+ventral,False,90.0,65.0,20.0,6735.0,545.0,150.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4070 | 41220,motza,4070,41220,2,dorsal+ventral,False,80.0,60.0,20.0,5905.0,405.0,190.0,1.3333333333333333,4.0,3.0,1.0,1.0,0.8,0.4,0.8,1.0,,0.8300000000000001,high
motza | 4070 | 41243,motza,4070,41243,4,dorsal+ventral,False,105.0,90.0,30.0,7095.0,470.0,210.0,1.2222222222222223,3.6666666666666665,2.9999999999999996,1.4285714285714286,0.7,0.6,0.5,0.5,1.0,,0.6449999999999999,medium
motza | 4070 | 41256CTE,motza,4070,41256CTE,2,dorsal+ventral,False,95.0,70.0,25.0,6775.0,495.0,170.0,1.375,3.916666666666667,2.833333333333333,1.3333333333333333,0.7,0.3,0.5,1.0,1.0,,0.6449999999999999,medium
motza | 4070 | 41285,motza,4070,41285,4,dorsal+ventral,False,90.0,60.0,25.0,6705.0,440.0,180.0,1.4999999999999998,3.916666666666667,2.666666666666667,1.1666666666666667,1.0,0.8,0.5,0.9,1.0,,0.86,high
motza | 4070 | 41295,motza,4070,41295,2,dorsal+ventral,False,105.0,70.0,30.0,11925.0,1220.0,375.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4070 | 41295a,motza,4070,41295a,3,dorsal+ventral,False,90.0,60.0,20.0,6330.0,420.0,130.0,1.3333333333333333,4.5,3.0,1.1666666666666667,1.0,0.6,0.5,0.6666666666666666,1.0,,0.7749999999999999,high
motza | 4070 | 41295b,motza,4070,41295b,2,dorsal+ventral,False,90.0,60.0,20.0,6750.0,525.0,,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.3,0.9,1.0,,0.78,high
motza | 4070 | 41295c,motza,4070,41295c,2,dorsal+ventral,False,85.0,60.0,20.0,5685.0,345.0,210.0,1.4166666666666665,4.25,3.0,1.125,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4070 | 41310,motza,4070,41310,2,dorsal+ventral,False,95.0,75.0,25.0,7570.0,505.0,210.0,1.2767857142857144,3.916666666666667,3.166666666666667,1.1428571428571428,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4070 | 41352,motza,4070,41352,5,dorsal+ventral,False,80.0,60.0,20.0,5200.0,350.00000000000006,160.0,1.3333333333333333,4.0,3.0,1.2,1.0,1.0,0.5,0.9199999999999999,1.0,,0.9129999999999999,high
motza | 4070 | 41354,motza,4070,41354,4,dorsal+ventral,False,85.0,65.0,20.0,6840.0,480.0,165.0,1.3333333333333333,4.0,3.0,1.25,1.0,0.7000000000000001,0.4,0.8,1.0,,0.8049999999999999,high
motza | 4070 | 41363,motza,4070,41363,4,dorsal+ventral,False,105.0,70.0,30.0,9570.0,740.0,325.0,1.4642857142857144,3.5,2.3333333333333335,1.2,1.0,0.6,0.5,0.7,1.0,,0.7799999999999999,high
motza | 4070 | 41531,motza,4070,41531,2,dorsal+ventral,False,90.0,60.0,20.0,6295.0,450.0,180.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,0.9,1.0,,0.9099999999999999,high
motza | 4071 | 40314,motza,4071,40314,2,dorsal+ventral,False,80.0,60.0,20.0,5545.000000000001,335.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.8,0.5,0.6000000000000001,1.0,,0.815,high
motza | 4071 | 41241,motza,4071,41241,8,dorsal+ventral,False,90.0,70.0,25.0,6850.0,475.0,200.0,1.3333333333333333,3.666666666666667,2.666666666666667,1.25,1.0,0.8,0.375,0.65,1.0,,0.8037500000000001,high
motza | 4071 | 41241a,motza,4071,41241a,2,dorsal+ventral,False,125.0,120.0,30.0,13265.0,1115.0,705.0,1.0454545454545454,4.166666666666666,4.0,1.1818181818181819,1.0,0.1,0.3,0.4,1.0,,0.58,medium
motza | 4071 | 41241b,motza,4071,41241b,2,dorsal+ventral,False,90.0,60.0,20.0,6435.0,420.0,170.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4071 | 41244,motza,4071,41244,2,dorsal+ventral,False,80.0,65.0,20.0,6225.0,510.0,155.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4071 | 41253,motza,4071,41253,2,dorsal+ventral,False,90.0,65.0,20.0,6525.0,505.0,170.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4071 | 41253PE,motza,4071,41253PE,2,dorsal+ventral,False,85.0,55.0,20.0,6210.0,540.0,200.0,1.5499999999999998,4.25,2.75,1.2,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 4071 | 41267,motza,4071,41267,2,dorsal+ventral,False,90.0,60.0,20.0,5605.0,355.0,160.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4071 | 41271,motza,4071,41271,2,dorsal+ventral,False,100.0,70.0,30.0,8895.0,860.0,190.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4071 | 41282a,motza,4071,41282a,4,dorsal+ventral,False,90.0,60.0,20.0,6735.0,500.0,230.0,1.4166666666666665,4.5,3.0,1.1666666666666667,1.0,0.6499999999999999,0.5,0.95,1.0,,0.8299999999999998,high
motza | 4071 | 41282b,motza,4071,41282b,4,dorsal+ventral,False,100.0,65.0,30.0,7720.0,590.0,190.0,1.4642857142857142,3.3333333333333335,2.166666666666667,1.1666666666666667,1.0,0.7000000000000001,0.5,1.0,1.0,,0.85,high
motza | 4072 | 41279a,motza,4072,41279a,4,dorsal+ventral,False,100.0,75.0,30.0,8120.0,605.0,205.0,1.3392857142857144,3.3333333333333335,2.5,1.1428571428571428,1.0,0.45,0.45,0.7,1.0,,0.735,medium
motza | 4072 | 41279b,motza,4072,41279b,4,dorsal+ventral,False,95.0,70.0,25.0,7325.0,510.0,145.0,1.4642857142857142,4.083333333333333,2.666666666666667,1.2222222222222223,1.0,0.8,0.45,0.9,1.0,,0.8525,high
motza | 4072 | 41279c,motza,4072,41279c,2,dorsal+ventral,False,90.0,60.0,20.0,6175.0,370.0,110.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.4,0.9,1.0,,0.8949999999999999,high
motza | 4073 | 41293,motza,4073,41293,3,dorsal+ventral,False,80.0,60.0,20.0,6050.0,620.0,,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.3666666666666667,0.5333333333333333,1.0,,0.835,high
motza | 4075 | 41361,motza,4075,41361,6,dorsal+ventral,False,100.0,70.0,30.0,8020.0,615.0,290.0,1.380952380952381,3.6666666666666665,2.5,1.375,0.7,0.6999999999999998,0.4666666666666666,0.5666666666666668,1.0,,0.6749999999999999,medium
motza | 4076 | 41364a,motza,4076,41364a,3,dorsal+ventral,False,90.0,70.0,20.0,6650.0,410.0,135.0,1.2857142857142856,4.5,3.5,1.1666666666666667,1.0,0.3,0.5,0.8666666666666667,1.0,,0.73,medium
motza | 4076 | 41364b,motza,4076,41364b,2,dorsal+ventral,False,85.0,60.0,20.0,5950.0,395.0,,1.4166666666666665,4.25,3.0,1.125,1.0,0.8,0.5,0.6000000000000001,1.0,,0.815,high
motza | 4076 | 41372,motza,4076,41372,2,dorsal+ventral,False,80.0,65.0,20.0,5590.0,340.0,195.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4076 | 41372a,motza,4076,41372a,2,dorsal+ventral,False,100.0,70.0,30.0,7810.0,610.0,235.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4076 | 41372b,motza,4076,41372b,2,dorsal+ventral,False,110.0,70.0,30.0,8770.0,835.0,255.0,1.5714285714285714,3.6666666666666665,2.3333333333333335,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4080 | 40816,motza,4080,40816,2,dorsal+ventral,False,85.0,60.0,20.0,6715.0,530.0,,1.4166666666666665,4.25,3.0,1.125,1.0,0.8,0.5,0.6000000000000001,1.0,,0.815,high
motza | 4080 | 41357,motza,4080,41357,2,dorsal+ventral,False,90.0,70.0,20.0,6490.0,435.0,,1.2857142857142856,4.5,3.5,1.0,1.0,0.8,0.5,0.9,1.0,,0.86,high
motza | 4097 | 40739,motza,4097,40739,2,dorsal+ventral,False,90.0,60.0,20.0,6210.0,505.0,,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5014 | 50210,motza,5014,50210,2,dorsal+ventral,False,80.0,60.0,20.0,7035.0,825.0,120.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.6000000000000001,1.0,,0.8649999999999999,high
motza | 5015 | 50185,motza,5015,50185,2,dorsal+ventral,False,85.0,65.0,20.0,6035.0,415.0,185.0,1.3095238095238093,4.25,3.25,1.1666666666666667,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 5016 | 50085,motza,5016,50085,2,dorsal+ventral,False,80.0,60.0,20.0,5550.0,345.0,135.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.4,0.9,1.0,,0.8949999999999999,high
motza | 5016 | 50085BS,motza,5016,50085BS,3,dorsal+ventral,False,90.0,60.0,20.0,6460.0,480.0,120.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 5016 | 50136,motza,5016,50136,2,dorsal+ventral,False,80.0,60.0,20.0,5600.0,405.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 5017 | 50170,motza,5017,50170,2,dorsal+ventral,False,85.0,70.0,20.0,6355.0,490.0,160.0,1.2142857142857142,4.25,3.5,1.125,1.0,0.6,0.4,0.8,1.0,,0.78,high
motza | 5017 | 50362,motza,5017,50362,2,dorsal+ventral,False,80.0,60.0,20.0,5720.0,420.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5017 | 50373,motza,5017,50373,2,dorsal+ventral,False,75.0,60.0,20.0,5685.0,485.0,,1.25,3.75,3.0,1.1428571428571428,1.0,1.0,0.3,1.0,1.0,,0.895,high
motza | 5018 | 50098,motza,5018,50098,2,dorsal+ventral,False,90.0,60.0,20.0,6260.0,430.0,190.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,0.9,1.0,,0.9099999999999999,high
motza | 5018 | 50253,motza,5018,50253,2,dorsal+ventral,False,80.0,60.0,20.0,5860.0,480.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 5019 | 50206,motza,5019,50206,2,dorsal+ventral,False,80.0,60.0,20.0,6460.0,685.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.6,0.3,0.4,1.0,,0.705,medium
motza | 5019 | 50377,motza,5019,50377,4,dorsal+ventral,False,80.0,65.0,20.0,5980.0,465.0,180.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.7000000000000001,0.4,0.8,1.0,,0.8049999999999999,high
motza | 5020 | 50104,motza,5020,50104,2,dorsal+ventral,False,100.0,70.0,30.0,8250.0,675.0,165.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 5020 | 50109,motza,5020,50109,2,dorsal+ventral,False,95.0,70.0,20.0,6650.0,550.0,,1.375,4.75,3.5,1.3333333333333333,0.7,0.6,0.4,1.0,1.0,,0.705,medium
motza | 5020 | 50177,motza,5020,50177,2,dorsal+ventral,False,80.0,60.0,20.0,5655.0,340.0,160.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.6000000000000001,1.0,,0.8649999999999999,high
motza | 5021 | 50188,motza,5021,50188,7,dorsal+ventral,False,90.0,60.0,20.0,5820.0,340.0,140.0,1.4999999999999998,4.5,3.0,1.1666666666666667,1.0,1.0,0.5,0.8857142857142858,1.0,,0.9078571428571428,high
motza | 5021 | 50317a,motza,5021,50317a,2,dorsal+ventral,False,95.0,75.0,25.0,7820.0,725.0,210.0,1.2678571428571428,3.916666666666667,3.083333333333333,1.1428571428571428,1.0,0.3,0.5,1.0,1.0,,0.75,high
motza | 5021 | 50317b,motza,5021,50317b,2,dorsal+ventral,False,105.0,75.0,30.0,7460.0,510.0,220.0,1.4107142857142856,3.5,2.5,1.1428571428571428,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 5022 | 50544,motza,5022,50544,2,dorsal+ventral,False,80.0,65.0,20.0,6140.0,435.0,110.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 5023 | 50276BS,motza,5023,50276BS,3,dorsal+ventral,False,100.0,70.0,30.0,6560.0,410.0,200.0,1.4285714285714286,3.3333333333333335,2.6666666666666665,1.3333333333333333,0.7,0.3,0.5,1.0,1.0,,0.6449999999999999,medium
motza | 5024 | 50251,motza,5024,50251,2,dorsal+ventral,False,90.0,65.0,20.0,6480.0,380.0,175.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,0.6000000000000001,1.0,,0.815,high
motza | 5024 | 50364,motza,5024,50364,2,dorsal+ventral,False,90.0,60.0,20.0,5930.0,400.0,145.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,0.9,1.0,,0.9099999999999999,high
motza | 5025 | 50168,motza,5025,50168,2,dorsal+ventral,False,95.0,65.0,20.0,7640.0,620.0,180.0,1.4642857142857142,4.75,3.25,1.1666666666666667,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 5026 | 50321,motza,5026,50321,4,dorsal+ventral,False,90.0,65.0,25.0,7545.0,655.0,170.0,1.380952380952381,3.666666666666667,2.666666666666667,1.25,1.0,0.6,0.45,0.8999999999999999,1.0,,0.8025,high
motza | 5027 | 50236a,motza,5027,50236a,2,dorsal+ventral,False,80.0,65.0,20.0,5770.0,475.0,,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5027 | 50236b,motza,5027,50236b,2,dorsal+ventral,False,95.0,75.0,20.0,6750.0,460.0,130.0,1.2678571428571428,4.75,3.75,1.1428571428571428,1.0,0.6,0.5,0.6000000000000001,1.0,,0.7649999999999999,high
motza | 5027 | 50290,motza,5027,50290,6,dorsal+ventral,False,80.0,60.0,20.0,6050.0,435.0,190.0,1.3333333333333333,4.0,3.0,1.1666666666666667,1.0,0.7333333333333334,0.4666666666666666,0.8666666666666667,1.0,,0.8333333333333333,high
motza | 5027 | 50324,motza,5027,50324,4,dorsal+ventral,False,90.0,65.0,20.0,6930.0,535.0,170.0,1.3928571428571428,4.5,3.25,1.3333333333333333,0.7,0.8,0.45,0.8500000000000001,1.0,,0.7399999999999999,medium
motza | 5028 | 50263,motza,5028,50263,2,dorsal+ventral,False,80.0,60.0,20.0,5870.0,450.0,230.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.3,0.8,1.0,,0.865,high
motza | 5028 | 50331,motza,5028,50331,2,dorsal+ventral,False,90.0,60.0,20.0,6335.0,480.0,,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5030 | 50432,motza,5030,50432,2,dorsal+ventral,False,95.0,70.0,20.0,7820.0,790.0,140.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.8,0.3,1.0,1.0,,0.8450000000000001,high
motza | 5031 | 50365,motza,5031,50365,2,dorsal+ventral,False,90.0,60.0,20.0,6220.0,380.0,,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5031 | 50399,motza,5031,50399,2,dorsal+ventral,False,80.0,60.0,20.0,5935.0,429.99999999999994,,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 5033 | 50386,motza,5033,50386,2,dorsal+ventral,False,120.0,155.0,30.0,12970.0,1175.0,420.0,0.775,4.0,5.166666666666666,1.0666666666666667,1.0,0.3,0.3,0.6000000000000001,1.0,,0.6599999999999999,medium
motza | 5033 | 50424,motza,5033,50424,2,dorsal+ventral,False,90.0,65.0,20.0,6105.0,440.0,130.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 5034 | 50388,motza,5034,50388,2,dorsal+ventral,False,100.0,75.0,30.0,9515.0,885.0,220.0,1.3392857142857144,3.3333333333333335,2.5,1.1428571428571428,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 5037 | 50421,motza,5037,50421,4,dorsal+ventral,False,90.0,65.0,20.0,6330.0,455.0,150.0,1.380952380952381,4.0,3.0,1.25,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 5037 | 50468,motza,5037,50468,2,dorsal+ventral,False,90.0,60.0,20.0,6160.0,400.0,200.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5038 | 50476,motza,5038,50476,4,dorsal+ventral,False,85.0,60.0,20.0,5680.0,390.0,240.0,1.4166666666666665,4.25,3.0,1.125,1.0,1.0,0.5,0.8500000000000001,1.0,,0.9025,high
motza | 5040 | 50438,motza,5040,50438,2,dorsal+ventral,False,85.0,70.0,20.0,6625.0,630.0,140.0,1.2142857142857142,4.25,3.5,1.125,1.0,1.0,0.5,0.6000000000000001,1.0,,0.8649999999999999,high
motza | 5040 | 50481,motza,5040,50481,2,dorsal+ventral,False,95.0,70.0,20.0,6765.0,455.0,150.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 5041 | 50450,motza,5041,50450,2,dorsal+ventral,False,75.0,60.0,20.0,7210.0,780.0,155.0,1.25,3.75,3.0,1.1428571428571428,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 5042 | 50597a,motza,5042,50597a,2,dorsal+ventral,False,90.0,75.0,20.0,6735.0,415.0,195.0,1.2053571428571428,4.5,3.75,1.1428571428571428,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 5042 | 50597b,motza,5042,50597b,2,dorsal+ventral,False,90.0,60.0,20.0,6535.0,450.0,150.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5044 | 50030,motza,5044,50030,2,dorsal+ventral,False,85.0,60.0,20.0,5680.0,380.0,180.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 5045 | 50606,motza,5045,50606,2,dorsal+ventral,False,80.0,60.0,20.0,5684.999999999999,400.0,175.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 5046 | 50468a,motza,5046,50468a,2,dorsal+ventral,False,80.0,60.0,20.0,5700.0,415.0,,1.3333333333333333,4.0,3.0,1.0,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 5046 | 50468b,motza,5046,50468b,2,dorsal+ventral,False,90.0,65.0,20.0,6810.0,570.0,115.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.4,0.8,1.0,,0.8300000000000001,high
motza | 5046 | 50504,motza,5046,50504,2,dorsal+ventral,False,90.0,70.0,20.0,6580.0,425.0,125.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 5047 | 50497,motza,5047,50497,2,dorsal+ventral,False,100.0,85.0,25.0,7065.0,395.0,175.0,1.1805555555555556,4.166666666666667,3.5,1.125,1.0,0.8,0.5,0.4,1.0,,0.785,high
motza | 5047 | 50597a,motza,5047,50597a,4,dorsal+ventral,False,80.0,60.0,20.0,6230.0,565.0,,1.3333333333333333,4.0,3.0,1.1666666666666667,1.0,1.0,0.5,0.6,1.0,,0.8649999999999999,high
