sample_id,K2O,Ca2O,Ti2O,MnO,Fe2O3,Zn,Ga,Pb,Th,Rb,Sr,Y,Zr,Nb,source_raw,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
Nenezi Dag,4.03,0.76,0.11,0.07,1.44,43,14,27,20,146,76,32,165,12,Nenezi Dag,ND,,5 source-mean rows (Forster & Grave Table 2); Hotamıs dag and Acıgöl not relevant for Levantine sourcing,False,Forster & Grave 2012,2012,EDXRF,2,mixed (% oxides + ppm elements),True
East Golu Dag,4.86,0.62,0.12,0.07,0.87,20,15,27,17,165,16,29,74,16,East Golu Dag,EGD,,5 source-mean rows (Forster & Grave Table 2); Hotamıs dag and Acıgöl not relevant for Levantine sourcing,False,Forster & Grave 2012,2012,EDXRF,2,mixed (% oxides + ppm elements),True
Hotamıs dag 1,4.34,0.69,0.11,0.06,1.12,33,15,29,22,154,63,29,116,12,Hotamıs dag 1,HotamisDag,,5 source-mean rows (Forster & Grave Table 2); Hotamıs dag and Acıgöl not relevant for Levantine sourcing,False,Forster & Grave 2012,2012,EDXRF,2,mixed (% oxides + ppm elements),True
Hotamıs dag 2,4.16,0.89,0.14,0.06,1.74,45,14,22,17,139,100,32,181,12,Hotamıs dag 2,HotamisDag,,5 source-mean rows (Forster & Grave Table 2); Hotamıs dag and Acıgöl not relevant for Levantine sourcing,False,Forster & Grave 2012,2012,EDXRF,2,mixed (% oxides + ppm elements),True
Acıgöl dag,4.61,0.48,0.13,0.07,0.9,34,17,29,27,223,8,47,81,24,Acıgöl dag,AciGol,,5 source-mean rows (Forster & Grave Table 2); Hotamıs dag and Acıgöl not relevant for Levantine sourcing,False,Forster & Grave 2012,2012,EDXRF,2,mixed (% oxides + ppm elements),True
