sample_id,source,source_raw,site,paper,year,method,method_tier,units,is_source_reference,notes,verification_flag,Rb,Sr,Zr,Nb,Y,Ba,Ti,Th,U,Fe,Mn,Zn,Pb,Ga,source_file
kn-023,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,199.0,0.0,1251.0,66.0,,0.0,947.0,,,20101.0,513.0,177.0,25.0,,campbell_healey_2016.csv
kn-025,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,202.0,0.0,1265.0,66.0,,70.0,815.0,,,21166.0,572.0,174.0,28.0,,campbell_healey_2016.csv
kn-029,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,201.0,0.0,1254.0,63.0,,0.0,859.0,,,20109.0,602.0,192.0,29.0,,campbell_healey_2016.csv
kn-031,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1294.0,65.0,,0.0,913.0,,,21101.0,559.0,199.0,32.0,,campbell_healey_2016.csv
kn-035,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1262.0,65.0,,0.0,886.0,,,21048.0,531.0,184.0,27.0,,campbell_healey_2016.csv
kn-036,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,203.0,0.0,1249.0,64.0,,0.0,918.0,,,20776.0,574.0,184.0,25.0,,campbell_healey_2016.csv
kn-038,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1294.0,66.0,,0.0,903.0,,,21888.0,534.0,191.0,28.0,,campbell_healey_2016.csv
kn-042,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,210.0,0.0,1277.0,66.0,,0.0,817.0,,,21494.0,491.0,192.0,28.0,,campbell_healey_2016.csv
kn-043,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1268.0,65.0,,0.0,895.0,,,21346.0,502.0,172.0,32.0,,campbell_healey_2016.csv
kn-044,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1250.0,61.0,,0.0,874.0,,,20459.0,612.0,180.0,25.0,,campbell_healey_2016.csv
kn-045,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,210.0,0.0,1256.0,65.0,,0.0,912.0,,,21013.0,551.0,184.0,23.0,,campbell_healey_2016.csv
kn-046,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,201.0,0.0,1267.0,64.0,,0.0,821.0,,,21120.0,498.0,190.0,27.0,,campbell_healey_2016.csv
kn-048,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1301.0,67.0,,0.0,937.0,,,21433.0,498.0,181.0,28.0,,campbell_healey_2016.csv
kn-050,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1280.0,67.0,,0.0,887.0,,,21300.0,523.0,182.0,28.0,,campbell_healey_2016.csv
kn-055,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,258.0,0.0,1381.0,65.0,,0.0,886.0,,,24671.0,500.0,215.0,45.0,,campbell_healey_2016.csv
kn-057,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,227.0,0.0,1357.0,70.0,,0.0,973.0,,,24436.0,537.0,212.0,34.0,,campbell_healey_2016.csv
kn-058,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1288.0,66.0,,0.0,809.0,,,20832.0,439.0,178.0,29.0,,campbell_healey_2016.csv
kn-060,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,212.0,0.0,1270.0,66.0,,0.0,847.0,,,21459.0,475.0,188.0,30.0,,campbell_healey_2016.csv
kn-061,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,223.0,0.0,1330.0,69.0,,0.0,881.0,,,22145.0,534.0,198.0,29.0,,campbell_healey_2016.csv
kn-062,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,204.0,0.0,1264.0,62.0,,80.0,830.0,,,21038.0,566.0,187.0,30.0,,campbell_healey_2016.csv
kn-066,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,200.0,0.0,1238.0,64.0,,143.0,862.0,,,19997.0,622.0,175.0,32.0,,campbell_healey_2016.csv
kn-070,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1280.0,66.0,,0.0,879.0,,,21406.0,447.0,189.0,31.0,,campbell_healey_2016.csv
kn-074,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1242.0,66.0,,121.0,826.0,,,20735.0,641.0,191.0,34.0,,campbell_healey_2016.csv
kn-075,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,199.0,0.0,1230.0,63.0,,0.0,837.0,,,20209.0,485.0,170.0,26.0,,campbell_healey_2016.csv
kn-078,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1250.0,64.0,,0.0,857.0,,,20727.0,480.0,183.0,28.0,,campbell_healey_2016.csv
kn-081,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,203.0,0.0,1255.0,66.0,,0.0,871.0,,,20881.0,538.0,176.0,26.0,,campbell_healey_2016.csv
kn-082,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,210.0,0.0,1276.0,66.0,,0.0,860.0,,,21468.0,488.0,185.0,26.0,,campbell_healey_2016.csv
kn-086,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,202.0,0.0,1255.0,62.0,,0.0,883.0,,,20558.0,560.0,178.0,30.0,,campbell_healey_2016.csv
kn-087,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1254.0,65.0,,0.0,857.0,,,21235.0,574.0,191.0,28.0,,campbell_healey_2016.csv
kn-089,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,203.0,0.0,1262.0,66.0,,0.0,853.0,,,20576.0,479.0,191.0,27.0,,campbell_healey_2016.csv
kn-094,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1231.0,63.0,,102.0,835.0,,,20210.0,608.0,192.0,28.0,,campbell_healey_2016.csv
kn-095,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,211.0,0.0,1259.0,64.0,,0.0,848.0,,,21184.0,551.0,192.0,30.0,,campbell_healey_2016.csv
kn-102,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,199.0,0.0,1234.0,63.0,,115.0,871.0,,,20326.0,521.0,199.0,29.0,,campbell_healey_2016.csv
kn-104,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,204.0,0.0,1272.0,66.0,,106.0,881.0,,,21056.0,664.0,186.0,35.0,,campbell_healey_2016.csv
kn-111,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,265.0,0.0,1401.0,70.0,,0.0,1003.0,,,25825.0,460.0,228.0,41.0,,campbell_healey_2016.csv
kn-114,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1264.0,64.0,,0.0,823.0,,,20196.0,531.0,174.0,30.0,,campbell_healey_2016.csv
kn-115,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,195.0,0.0,1203.0,64.0,,0.0,832.0,,,19260.0,522.0,172.0,23.0,,campbell_healey_2016.csv
kn-116,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1311.0,65.0,,0.0,912.0,,,22084.0,508.0,202.0,32.0,,campbell_healey_2016.csv
kn-121,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,224.0,0.0,1347.0,68.0,,0.0,931.0,,,22994.0,584.0,199.0,32.0,,campbell_healey_2016.csv
kn-122,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,224.0,0.0,1338.0,66.0,,0.0,992.0,,,24026.0,502.0,229.0,30.0,,campbell_healey_2016.csv
kn-127,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1251.0,64.0,,0.0,872.0,,,20728.0,481.0,178.0,28.0,,campbell_healey_2016.csv
kn-128,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1278.0,65.0,,0.0,875.0,,,21245.0,488.0,176.0,29.0,,campbell_healey_2016.csv
kn-129,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,216.0,0.0,1316.0,69.0,,0.0,892.0,,,22133.0,460.0,197.0,26.0,,campbell_healey_2016.csv
kn-130,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,228.0,0.0,1336.0,69.0,,0.0,969.0,,,23258.0,471.0,204.0,27.0,,campbell_healey_2016.csv
kn-135,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1311.0,67.0,,0.0,869.0,,,22255.0,538.0,191.0,31.0,,campbell_healey_2016.csv
kn-140,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1260.0,67.0,,73.0,890.0,,,20875.0,591.0,198.0,26.0,,campbell_healey_2016.csv
kn-147,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,201.0,0.0,1244.0,63.0,,0.0,810.0,,,20178.0,587.0,195.0,29.0,,campbell_healey_2016.csv
kn-151,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,211.0,0.0,1282.0,66.0,,0.0,857.0,,,21325.0,475.0,192.0,29.0,,campbell_healey_2016.csv
kn-154,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,224.0,0.0,1331.0,69.0,,0.0,949.0,,,23108.0,448.0,190.0,29.0,,campbell_healey_2016.csv
kn-155,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,202.0,0.0,1237.0,62.0,,0.0,880.0,,,20864.0,491.0,188.0,28.0,,campbell_healey_2016.csv
kn-156,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,199.0,0.0,1260.0,64.0,,0.0,917.0,,,21202.0,521.0,183.0,26.0,,campbell_healey_2016.csv
kn-158,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1234.0,64.0,,0.0,848.0,,,20973.0,568.0,181.0,33.0,,campbell_healey_2016.csv
kn-159,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1255.0,66.0,,0.0,814.0,,,21125.0,509.0,190.0,31.0,,campbell_healey_2016.csv
kn-161,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,216.0,0.0,1295.0,66.0,,0.0,920.0,,,21810.0,436.0,188.0,28.0,,campbell_healey_2016.csv
kn-162,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1256.0,64.0,,0.0,866.0,,,21234.0,486.0,185.0,32.0,,campbell_healey_2016.csv
kn-165,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,211.0,0.0,1292.0,66.0,,0.0,845.0,,,21938.0,456.0,190.0,25.0,,campbell_healey_2016.csv
kn-166,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1293.0,68.0,,0.0,931.0,,,21831.0,465.0,189.0,31.0,,campbell_healey_2016.csv
kn-167,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1261.0,64.0,,0.0,858.0,,,21251.0,583.0,192.0,28.0,,campbell_healey_2016.csv
kn-168,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1266.0,66.0,,0.0,875.0,,,21438.0,437.0,192.0,23.0,,campbell_healey_2016.csv
kn-170,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,200.0,0.0,1252.0,64.0,,0.0,822.0,,,20494.0,584.0,184.0,31.0,,campbell_healey_2016.csv
kn-171,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,209.0,0.0,1255.0,64.0,,0.0,860.0,,,21223.0,571.0,192.0,24.0,,campbell_healey_2016.csv
kn-172,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,202.0,0.0,1244.0,64.0,,0.0,845.0,,,20246.0,609.0,169.0,33.0,,campbell_healey_2016.csv
kn-175,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,212.0,0.0,1276.0,67.0,,0.0,864.0,,,21704.0,458.0,197.0,29.0,,campbell_healey_2016.csv
kn-177,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,217.0,0.0,1296.0,67.0,,0.0,964.0,,,21726.0,484.0,188.0,25.0,,campbell_healey_2016.csv
kn-184,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,249.0910313830432,0.0,1393.25777999419,59.61844944253394,111.0,0.0,1067.8043315976452,,,26822.446596176906,554.3690247603164,230.93863510741696,34.15252651085336,,campbell_healey_2016.csv
kn-188,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,218.0,0.0,1320.0,67.0,,0.0,936.0,,,22518.0,501.0,190.0,35.0,,campbell_healey_2016.csv
kn-189,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,193.0,0.0,1200.0,61.0,,0.0,809.0,,,19299.0,539.0,161.0,22.0,,campbell_healey_2016.csv
kn-192,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,198.0,0.0,1223.0,61.0,,0.0,856.0,,,20091.0,476.0,172.0,26.0,,campbell_healey_2016.csv
kn-194,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,213.0,0.0,1315.0,64.0,,0.0,815.0,,,21784.0,574.0,207.0,29.0,,campbell_healey_2016.csv
kn-195,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1269.0,64.0,,0.0,1024.0,,,20961.0,545.0,179.0,31.0,,campbell_healey_2016.csv
kn-196,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,220.0,0.0,1317.0,67.0,,0.0,954.0,,,23263.0,585.0,222.0,31.0,,campbell_healey_2016.csv
kn-198,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,226.0,0.0,1317.0,66.0,,0.0,977.0,,,23411.0,498.0,199.0,23.0,,campbell_healey_2016.csv
kn-199,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,223.0,0.0,1363.0,70.0,,0.0,861.0,,,21788.0,523.0,196.0,27.0,,campbell_healey_2016.csv
kn-200,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,209.0,0.0,1290.0,63.0,,0.0,883.0,,,21619.0,493.0,177.0,30.0,,campbell_healey_2016.csv
kn-205,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1279.0,65.0,,104.0,865.0,,,21015.0,560.0,182.0,24.0,,campbell_healey_2016.csv
kn-211,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1255.0,65.0,,114.0,872.0,,,20600.0,639.0,198.0,30.0,,campbell_healey_2016.csv
kn-212,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,212.0,0.0,1275.0,64.0,,0.0,883.0,,,21584.0,501.0,207.0,34.0,,campbell_healey_2016.csv
kn-214,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,215.0,0.0,1312.0,66.0,,0.0,948.0,,,22197.0,503.0,187.0,25.0,,campbell_healey_2016.csv
kn-216,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,227.0,0.0,1353.0,68.0,,0.0,1015.0,,,23933.0,487.0,222.0,23.0,,campbell_healey_2016.csv
kn-217,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,206.0,0.0,1266.0,64.0,,0.0,866.0,,,20766.0,511.0,185.0,32.0,,campbell_healey_2016.csv
kn-218,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,205.0,0.0,1287.0,67.0,,154.0,846.0,,,21489.0,595.0,184.0,31.0,,campbell_healey_2016.csv
kn-220,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,204.0,0.0,1258.0,64.0,,0.0,976.0,,,21211.0,489.0,196.0,31.0,,campbell_healey_2016.csv
kn-221,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1281.0,66.0,,0.0,860.0,,,21540.0,476.0,190.0,27.0,,campbell_healey_2016.csv
kn-222,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,207.0,0.0,1260.0,63.0,,0.0,890.0,,,21198.0,490.0,200.0,25.0,,campbell_healey_2016.csv
kn-224,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,195.0,0.0,1220.0,62.0,,0.0,888.0,,,19219.0,508.0,173.0,22.0,,campbell_healey_2016.csv
kn-226,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,204.0,0.0,1270.0,66.0,,0.0,827.0,,,20345.0,524.0,179.0,27.0,,campbell_healey_2016.csv
kn-227,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,238.0,0.0,1377.0,72.0,,0.0,981.0,,,24259.0,488.0,214.0,27.0,,campbell_healey_2016.csv
kn-230,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1283.0,68.0,,0.0,957.0,,,21588.0,463.0,183.0,26.0,,campbell_healey_2016.csv
kn-233,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,198.0,0.0,1238.0,64.0,,0.0,855.0,,,20525.0,556.0,191.0,25.0,,campbell_healey_2016.csv
kn-234,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1256.0,67.0,,0.0,843.0,,,20493.0,487.0,180.0,28.0,,campbell_healey_2016.csv
kn-237,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1288.0,67.0,,0.0,890.0,,,21664.0,497.0,194.0,26.0,,campbell_healey_2016.csv
kn-239,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,216.0,0.0,1321.0,64.0,,0.0,920.0,,,22770.0,562.0,201.0,29.0,,campbell_healey_2016.csv
kn-247,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,230.0,1.0,1388.0,70.0,,0.0,981.0,,,23794.0,550.0,202.0,36.0,,campbell_healey_2016.csv
kn-249,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,220.0,0.0,1329.0,66.0,,0.0,914.0,,,21937.0,525.0,195.0,28.0,,campbell_healey_2016.csv
kn-251,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,214.0,0.0,1297.0,65.0,,0.0,1015.0,,,22475.0,452.0,200.0,26.0,,campbell_healey_2016.csv
kn-252,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,208.0,0.0,1281.0,65.0,,0.0,894.0,,,21227.0,476.0,188.0,33.0,,campbell_healey_2016.csv
kn-254,NemrutDag,,geological source,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,,False,200.0,0.0,1269.0,67.0,,0.0,838.0,,,21353.0,551.0,179.0,25.0,,campbell_healey_2016.csv
