Reference number,Sample note,Source,Al,Si,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
kn-589,,Nemrut Dağ,72691.0,362556.0,37226.0,2920.0,850.0,567.0,21724.0,203.0,215.0,0.0,,1312.0,65.0,0.0,29.0,NemrutDag,kn-589,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-590,,Nemrut Dağ,75499.0,378943.0,38360.0,2862.0,889.0,501.0,21550.0,188.0,215.0,0.0,,1284.0,66.0,0.0,22.0,NemrutDag,kn-590,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-592,,Nemrut Dağ,70624.0,365646.0,37833.0,3319.0,865.0,546.0,21900.0,195.0,216.0,0.0,,1311.0,68.0,0.0,35.0,NemrutDag,kn-592,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-594,,Nemrut Dağ,70314.0,358012.0,39737.0,3077.0,939.0,601.0,21861.0,212.0,206.0,0.0,,1301.0,66.0,0.0,29.0,NemrutDag,kn-594,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-597,,Nemrut Dağ,72032.0,368095.0,39338.0,3491.0,966.0,471.0,22872.0,208.0,220.0,0.0,,1327.0,69.0,0.0,31.0,NemrutDag,kn-597,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-598,,Nemrut Dağ,71145.0,352603.0,35943.0,3202.0,902.0,591.0,20960.0,173.0,209.0,0.0,,1267.0,65.0,0.0,31.0,NemrutDag,kn-598,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-602,,Nemrut Dağ,76630.0,366752.0,39230.0,3738.0,981.0,496.0,21878.0,202.0,210.0,0.0,,1327.0,67.0,0.0,28.0,NemrutDag,kn-602,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-605,,Nemrut Dağ,66361.0,338299.0,34114.0,3033.0,843.0,485.0,20091.0,173.0,202.0,0.0,,1232.0,60.0,0.0,28.0,NemrutDag,kn-605,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-607,,Nemrut Dağ,69768.0,358505.0,35563.0,2937.0,850.0,515.0,21180.0,192.0,210.0,0.0,,1272.0,63.0,0.0,28.0,NemrutDag,kn-607,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-610,,Nemrut Dağ,67349.0,344534.0,46861.0,2864.0,816.0,544.0,20493.0,189.0,199.0,0.0,,1237.0,62.0,0.0,25.0,NemrutDag,kn-610,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-611,,Nemrut Dağ,72431.0,372409.0,39745.0,3107.0,946.0,500.0,23195.0,201.0,220.0,0.0,,1315.0,66.0,0.0,33.0,NemrutDag,kn-611,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-612,,Nemrut Dağ,69604.0,356050.0,36356.0,3108.0,843.0,642.0,21073.0,190.0,209.0,0.0,,1286.0,67.0,78.0,33.0,NemrutDag,kn-612,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-613,,Nemrut Dağ,62417.0,358196.0,39719.0,3673.0,853.0,509.0,20400.0,180.0,208.0,0.0,,1255.0,65.0,0.0,27.0,NemrutDag,kn-613,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-614,,Nemrut Dağ,73281.0,341351.0,50743.0,5859.0,922.0,537.0,21605.0,193.0,213.0,0.0,,1291.0,70.0,0.0,36.0,NemrutDag,kn-614,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-615,,Nemrut Dağ,68769.0,352180.0,36560.0,3168.0,874.0,511.0,20997.0,183.0,206.0,0.0,,1284.0,65.0,0.0,27.0,NemrutDag,kn-615,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-616,,Nemrut Dağ,68591.0,352314.0,34102.0,6425.0,849.0,554.0,20302.0,191.0,203.0,0.0,,1247.0,63.0,0.0,29.0,NemrutDag,kn-616,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-617,,Nemrut Dağ,69440.0,354969.0,36953.0,2982.0,863.0,487.0,21101.0,178.0,200.0,0.0,,1267.0,63.0,0.0,27.0,NemrutDag,kn-617,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-622,,Nemrut Dağ,68573.0,352807.0,36199.0,3031.0,850.0,474.0,20981.0,190.0,204.0,0.0,,1252.0,66.0,0.0,30.0,NemrutDag,kn-622,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-626,,Nemrut Dağ,68385.0,355616.0,38183.0,3244.0,930.0,555.0,26781.0,233.0,267.0,0.0,,1414.0,71.0,78.0,46.0,NemrutDag,kn-626,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-627,,Nemrut Dağ,65753.0,344622.0,34580.0,2910.0,862.0,579.0,19875.0,185.0,197.0,0.0,,1190.0,60.0,78.0,25.0,NemrutDag,kn-627,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-632,mean of 3 readings,Nemrut Dağ,68564.38033800409,377855.58964981145,39705.39888656226,2988.480471326133,949.4358068468518,456.2837116077695,25674.12990333654,214.77115149162827,257.99576702280723,0.0,111.0,1332.927326414424,55.83494202069357,0.0,43.06350382424298,NemrutDag,kn-632,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-637,,Nemrut Dağ,71576.0,363660.0,38985.0,2869.0,942.0,481.0,22537.0,200.0,219.0,0.0,,1313.0,70.0,0.0,31.0,NemrutDag,kn-637,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-642,,Nemrut Dağ,70406.0,358355.0,37156.0,2877.0,893.0,493.0,21160.0,177.0,209.0,0.0,,1264.0,65.0,0.0,29.0,NemrutDag,kn-642,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-645,,Nemrut Dağ,69954.0,354477.0,36439.0,3012.0,835.0,477.0,20870.0,189.0,205.0,0.0,,1259.0,63.0,0.0,31.0,NemrutDag,kn-645,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-646,,Nemrut Dağ,75500.0,380945.0,41931.0,3161.0,992.0,489.0,23737.0,209.0,215.0,0.0,,1282.0,68.0,0.0,33.0,NemrutDag,kn-646,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-648,,Nemrut Dağ,69478.0,356981.0,36386.0,2833.0,886.0,548.0,21109.0,188.0,206.0,0.0,,1257.0,64.0,0.0,29.0,NemrutDag,kn-648,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-656,mean of 2 readings,Nemrut Dağ,67206.0,338430.0,32496.0,15991.0,928.0,642.0,19928.0,174.0,200.0,4.0,,1213.0,64.0,106.0,28.0,NemrutDag,kn-656,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-658,,Nemrut Dağ,71489.0,361686.0,37044.0,3079.0,857.0,508.0,20917.0,188.0,209.0,0.0,,1250.0,67.0,0.0,28.0,NemrutDag,kn-658,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-666,,Nemrut Dağ,71315.0,358792.0,35553.0,3001.0,859.0,573.0,20807.0,194.0,206.0,0.0,,1254.0,63.0,0.0,26.0,NemrutDag,kn-666,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-667,,Nemrut Dağ,70686.0,358038.0,36135.0,2945.0,887.0,582.0,20706.0,177.0,203.0,0.0,,1257.0,61.0,0.0,29.0,NemrutDag,kn-667,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-669,,Nemrut Dağ,72635.0,363170.0,37132.0,3026.0,885.0,621.0,21002.0,170.0,203.0,0.0,,1291.0,65.0,73.0,33.0,NemrutDag,kn-669,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-671,,Nemrut Dağ,69776.0,351179.0,41773.0,2842.0,842.0,545.0,20650.0,169.0,195.0,0.0,,1239.0,64.0,0.0,33.0,NemrutDag,kn-671,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-673,,Nemrut Dağ,71170.0,363552.0,36869.0,2927.0,865.0,427.0,20311.0,180.0,205.0,0.0,,1257.0,64.0,0.0,29.0,NemrutDag,kn-673,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-674,,Nemrut Dağ,67618.0,350140.0,35289.0,2961.0,855.0,514.0,20634.0,189.0,205.0,0.0,,1235.0,63.0,0.0,29.0,NemrutDag,kn-674,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-675,,Nemrut Dağ,71088.0,361338.0,37548.0,2880.0,891.0,451.0,21333.0,178.0,209.0,0.0,,1282.0,64.0,0.0,33.0,NemrutDag,kn-675,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-676,,Nemrut Dağ,74290.0,374416.0,38277.0,3146.0,897.0,483.0,22071.0,194.0,209.0,0.0,,1294.0,66.0,0.0,27.0,NemrutDag,kn-676,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-682,,Nemrut Dağ,71195.0,360800.0,38700.0,3077.0,917.0,474.0,22153.0,187.0,213.0,0.0,,1298.0,68.0,0.0,27.0,NemrutDag,kn-682,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-683,,Nemrut Dağ,76571.0,380709.0,41068.0,3028.0,964.0,525.0,23504.0,208.0,225.0,0.0,,1334.0,66.0,0.0,25.0,NemrutDag,kn-683,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-684,,Nemrut Dağ,69842.0,357549.0,37491.0,3052.0,859.0,536.0,20801.0,185.0,205.0,0.0,,1260.0,64.0,78.0,32.0,NemrutDag,kn-684,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-685,,Nemrut Dağ,69375.0,351368.0,34400.0,10939.0,844.0,484.0,19910.0,182.0,206.0,0.0,,1241.0,64.0,0.0,27.0,NemrutDag,kn-685,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-686,,Nemrut Dağ,69826.0,335381.0,38123.0,4596.0,980.0,541.0,20027.0,183.0,191.0,0.0,,1226.0,63.0,0.0,25.0,NemrutDag,kn-686,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-687,,Nemrut Dağ,70156.0,357188.0,36270.0,2917.0,906.0,458.0,20671.0,174.0,206.0,0.0,,1243.0,63.0,0.0,26.0,NemrutDag,kn-687,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-688,,Nemrut Dağ,68696.0,352728.0,36100.0,3072.0,860.0,516.0,20616.0,185.0,204.0,0.0,,1234.0,64.0,0.0,29.0,NemrutDag,kn-688,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-689,,Nemrut Dağ,70644.0,355629.0,36551.0,3333.0,863.0,605.0,20683.0,184.0,210.0,0.0,,1254.0,63.0,0.0,29.0,NemrutDag,kn-689,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-691,,Nemrut Dağ,72778.0,366594.0,36555.0,3001.0,811.0,546.0,20491.0,176.0,207.0,0.0,,1256.0,64.0,0.0,21.0,NemrutDag,kn-691,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-692,,Nemrut Dağ,73521.0,367551.0,35943.0,2984.0,865.0,558.0,20877.0,182.0,205.0,0.0,,1275.0,66.0,0.0,33.0,NemrutDag,kn-692,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-693,,Nemrut Dağ,70461.0,358182.0,36281.0,2910.0,885.0,482.0,20859.0,188.0,202.0,0.0,,1250.0,66.0,0.0,28.0,NemrutDag,kn-693,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-694,,Nemrut Dağ,67195.0,346045.0,35202.0,3055.0,806.0,497.0,20522.0,177.0,206.0,0.0,,1233.0,62.0,0.0,27.0,NemrutDag,kn-694,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-695,,Nemrut Dağ,73614.0,375224.0,41286.0,3125.0,944.0,493.0,23193.0,205.0,227.0,0.0,,1341.0,69.0,0.0,28.0,NemrutDag,kn-695,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-696,,Nemrut Dağ,73437.0,363010.0,39073.0,3873.0,900.0,473.0,21752.0,184.0,215.0,0.0,,1299.0,66.0,0.0,27.0,NemrutDag,kn-696,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-698,,Nemrut Dağ,70488.0,356026.0,35745.0,2995.0,869.0,500.0,19878.0,178.0,193.0,0.0,,1229.0,66.0,0.0,32.0,NemrutDag,kn-698,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-700,,Nemrut Dağ,70846.0,348697.0,44393.0,4555.0,893.0,578.0,20264.0,172.0,199.0,0.0,,1246.0,62.0,0.0,31.0,NemrutDag,kn-700,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-702,,Nemrut Dağ,69525.0,356421.0,37583.0,8173.0,883.0,536.0,21029.0,180.0,212.0,0.0,,1270.0,64.0,0.0,25.0,NemrutDag,kn-702,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-703,,Nemrut Dağ,74730.0,375506.0,38803.0,3399.0,919.0,568.0,21597.0,185.0,214.0,0.0,,1295.0,67.0,0.0,27.0,NemrutDag,kn-703,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-705,,Nemrut Dağ,70154.0,355933.0,37532.0,3393.0,846.0,566.0,21404.0,192.0,208.0,0.0,,1287.0,64.0,0.0,30.0,NemrutDag,kn-705,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-706,,Nemrut Dağ,73168.0,372084.0,35812.0,3947.0,923.0,461.0,21727.0,182.0,216.0,0.0,,1309.0,69.0,0.0,24.0,NemrutDag,kn-706,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-708,,Nemrut Dağ,74336.0,371623.0,35764.0,3677.0,833.0,547.0,20458.0,190.0,204.0,0.0,,1249.0,64.0,0.0,29.0,NemrutDag,kn-708,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-709,,Nemrut Dağ,69580.0,354590.0,41641.0,3766.0,863.0,534.0,20729.0,178.0,196.0,0.0,,1249.0,62.0,0.0,33.0,NemrutDag,kn-709,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-716,,Nemrut Dağ,77941.0,389207.0,44506.0,3313.0,1054.0,514.0,24934.0,223.0,238.0,0.0,,1378.0,72.0,0.0,31.0,NemrutDag,kn-716,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-723,,Nemrut Dağ,72067.0,366915.0,39735.0,3185.0,941.0,447.0,22388.0,192.0,216.0,0.0,,1311.0,67.0,0.0,36.0,NemrutDag,kn-723,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-728,,Nemrut Dağ,75603.0,374469.0,40959.0,3305.0,898.0,536.0,22393.0,205.0,215.0,0.0,,1349.0,68.0,0.0,31.0,NemrutDag,kn-728,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-730,,Nemrut Dağ,70012.0,353481.0,48102.0,3104.0,846.0,530.0,20941.0,187.0,203.0,0.0,,1265.0,61.0,0.0,31.0,NemrutDag,kn-730,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-732,,Nemrut Dağ,72743.0,365182.0,35692.0,3045.0,861.0,540.0,20151.0,184.0,201.0,0.0,,1250.0,63.0,0.0,27.0,NemrutDag,kn-732,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-733,,Nemrut Dağ,72505.0,364286.0,35444.0,2980.0,814.0,528.0,19972.0,183.0,204.0,0.0,,1236.0,60.0,0.0,32.0,NemrutDag,kn-733,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-735,,Nemrut Dağ,70275.0,356224.0,36504.0,4221.0,858.0,545.0,20567.0,187.0,203.0,0.0,,1246.0,64.0,129.0,26.0,NemrutDag,kn-735,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-739,,Nemrut Dağ,72361.0,368851.0,36707.0,2842.0,877.0,501.0,20974.0,188.0,206.0,0.0,,1261.0,64.0,0.0,28.0,NemrutDag,kn-739,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-740,,Nemrut Dağ,75009.0,374860.0,38755.0,3007.0,922.0,583.0,22139.0,200.0,219.0,0.0,,1313.0,68.0,0.0,31.0,NemrutDag,kn-740,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-742,,Nemrut Dağ,73340.0,373432.0,41524.0,3325.0,988.0,514.0,23393.0,214.0,227.0,0.0,,1348.0,67.0,0.0,31.0,NemrutDag,kn-742,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-744,,Nemrut Dağ,72422.0,367222.0,36488.0,3996.0,880.0,478.0,20785.0,178.0,203.0,0.0,,1263.0,65.0,0.0,28.0,NemrutDag,kn-744,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-747,,Nemrut Dağ,70927.0,355478.0,40866.0,2921.0,863.0,557.0,20561.0,182.0,199.0,0.0,,1237.0,63.0,0.0,29.0,NemrutDag,kn-747,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-749,,Nemrut Dağ,70352.0,360281.0,39290.0,3657.0,988.0,505.0,22052.0,187.0,217.0,0.0,,1289.0,66.0,0.0,33.0,NemrutDag,kn-749,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-752,,Nemrut Dağ,77905.0,384773.0,48621.0,4080.0,1013.0,488.0,23627.0,219.0,246.0,0.0,,1383.0,69.0,0.0,37.0,NemrutDag,kn-752,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-756,,Nemrut Dağ,71035.0,357525.0,35660.0,3601.0,862.0,589.0,20689.0,192.0,209.0,0.0,,1274.0,66.0,0.0,29.0,NemrutDag,kn-756,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-759,,Nemrut Dağ,72967.0,367442.0,43386.0,3012.0,928.0,477.0,23178.0,199.0,224.0,0.0,,1326.0,68.0,0.0,29.0,NemrutDag,kn-759,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-761,,Nemrut Dağ,70270.0,351616.0,35239.0,3058.0,926.0,537.0,20964.0,182.0,204.0,0.0,,1258.0,65.0,0.0,26.0,NemrutDag,kn-761,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-763,,Nemrut Dağ,72033.0,366492.0,37026.0,2994.0,886.0,553.0,21618.0,194.0,211.0,0.0,,1302.0,64.0,0.0,25.0,NemrutDag,kn-763,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-764,,Nemrut Dağ,71587.0,363867.0,38109.0,3067.0,923.0,540.0,20835.0,180.0,204.0,0.0,,1250.0,64.0,0.0,26.0,NemrutDag,kn-764,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-765,,Nemrut Dağ,71511.0,362283.0,36111.0,2943.0,911.0,514.0,22062.0,193.0,219.0,0.0,,1314.0,66.0,0.0,30.0,NemrutDag,kn-765,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-766,,Nemrut Dağ,70708.0,354275.0,35465.0,3280.0,859.0,540.0,21011.0,186.0,206.0,0.0,,1268.0,65.0,0.0,30.0,NemrutDag,kn-766,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-767,,Nemrut Dağ,69623.0,358130.0,38470.0,3037.0,906.0,470.0,20862.0,197.0,211.0,0.0,,1276.0,65.0,0.0,28.0,NemrutDag,kn-767,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-773,,Nemrut Dağ,71920.0,360149.0,38808.0,2986.0,889.0,519.0,21389.0,174.0,205.0,0.0,,1283.0,65.0,0.0,29.0,NemrutDag,kn-773,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-774,,Nemrut Dağ,71697.0,359180.0,36655.0,3120.0,890.0,617.0,21067.0,209.0,205.0,0.0,,1264.0,66.0,163.0,30.0,NemrutDag,kn-774,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-775,,Nemrut Dağ,73086.0,359794.0,37068.0,3221.0,864.0,579.0,20982.0,190.0,206.0,0.0,,1265.0,64.0,76.0,32.0,NemrutDag,kn-775,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-786,,Nemrut Dağ,72303.0,365931.0,37397.0,2831.0,898.0,477.0,21638.0,200.0,206.0,0.0,,1280.0,64.0,0.0,28.0,NemrutDag,kn-786,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-796,,Nemrut Dağ,71367.0,363979.0,38748.0,3082.0,937.0,437.0,22394.0,196.0,218.0,0.0,,1313.0,66.0,0.0,31.0,NemrutDag,kn-796,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-797,,Nemrut Dağ,71901.0,367174.0,37395.0,2849.0,859.0,495.0,21128.0,183.0,209.0,0.0,,1309.0,65.0,0.0,34.0,NemrutDag,kn-797,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-803,,Nemrut Dağ,69865.0,354014.0,36134.0,2988.0,884.0,654.0,20725.0,183.0,203.0,0.0,,1242.0,63.0,148.0,32.0,NemrutDag,kn-803,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-804,,Nemrut Dağ,68153.0,349414.0,34284.0,4371.0,958.0,511.0,21458.0,181.0,204.0,0.0,,1253.0,65.0,0.0,26.0,NemrutDag,kn-804,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-808,,Nemrut Dağ,70330.0,359427.0,33332.0,2866.0,806.0,561.0,18773.0,176.0,192.0,0.0,,1204.0,61.0,93.0,24.0,NemrutDag,kn-808,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-811,,Nemrut Dağ,74423.0,368906.0,38587.0,3065.0,894.0,508.0,22160.0,190.0,213.0,0.0,,1318.0,65.0,0.0,29.0,NemrutDag,kn-811,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-813,,Nemrut Dağ,68043.0,352136.0,46683.0,3569.0,874.0,539.0,21159.0,190.0,209.0,0.0,,1275.0,64.0,69.0,34.0,NemrutDag,kn-813,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-823,,Nemrut Dağ,70803.0,359164.0,36512.0,3007.0,874.0,658.0,21097.0,179.0,209.0,0.0,,1263.0,64.0,0.0,27.0,NemrutDag,kn-823,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-824,,Nemrut Dağ,69595.0,357349.0,36494.0,3050.0,831.0,676.0,21202.0,197.0,211.0,0.0,,1268.0,65.0,82.0,28.0,NemrutDag,kn-824,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-831,,Nemrut Dağ,73536.0,366310.0,38322.0,3264.0,848.0,595.0,20220.0,186.0,205.0,0.0,,1250.0,65.0,0.0,28.0,NemrutDag,kn-831,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-832,,Nemrut Dağ,79683.0,386188.0,40076.0,4091.0,884.0,575.0,22988.0,212.0,230.0,0.0,,1402.0,71.0,0.0,30.0,NemrutDag,kn-832,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-836,mean of 2 readings,Nemrut Dağ,69106.22678905833,349982.06485598616,34090.26054491878,3194.4031598656056,826.557437024001,486.0010175277674,18986.89544221741,160.6020991334411,193.790701246937,0.0,,1180.943986021136,60.54079303760296,0.0,25.04251835115372,NemrutDag,kn-836,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-845,,Nemrut Dağ,77698.0,384694.0,40361.0,4113.0,957.0,532.0,22539.0,195.0,213.0,0.0,,1302.0,65.0,0.0,24.0,NemrutDag,kn-845,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-848,,Nemrut Dağ,82476.0,392316.0,39971.0,3210.0,951.0,582.0,22732.0,205.0,228.0,0.0,,1378.0,69.0,0.0,35.0,NemrutDag,kn-848,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-849,,Nemrut Dağ,72681.0,361463.0,38245.0,4320.0,910.0,549.0,21440.0,197.0,208.0,0.0,,1260.0,64.0,0.0,30.0,NemrutDag,kn-849,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-852,,Nemrut Dağ,71027.0,359510.0,36108.0,2899.0,850.0,601.0,20754.0,170.0,206.0,0.0,,1250.0,64.0,83.0,22.0,NemrutDag,kn-852,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-855,,Nemrut Dağ,70892.0,361224.0,38084.0,2936.0,847.0,605.0,20854.0,183.0,201.0,0.0,,1251.0,65.0,131.0,26.0,NemrutDag,kn-855,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-862,,Nemrut Dağ,78742.0,382392.0,44840.0,3214.0,946.0,509.0,23012.0,192.0,220.0,0.0,,1354.0,70.0,0.0,32.0,NemrutDag,kn-862,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-874,,Nemrut Dağ,68831.0,348515.0,35099.0,2982.0,836.0,588.0,20646.0,188.0,200.0,0.0,,1241.0,65.0,117.0,27.0,NemrutDag,kn-874,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-881,,Nemrut Dağ,69731.0,353051.0,35677.0,3905.0,899.0,601.0,21130.0,201.0,209.0,0.0,,1276.0,65.0,0.0,29.0,NemrutDag,kn-881,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-884,,Nemrut Dağ,70066.0,345427.0,36238.0,3560.0,970.0,496.0,21495.0,197.0,208.0,0.0,,1272.0,65.0,0.0,25.0,NemrutDag,kn-884,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-887,,Nemrut Dağ,68279.0,352601.0,35695.0,2852.0,866.0,557.0,21233.0,191.0,210.0,0.0,,1269.0,63.0,87.0,27.0,NemrutDag,kn-887,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-889,,Nemrut Dağ,72785.0,369509.0,41465.0,2938.0,966.0,469.0,22638.0,194.0,225.0,0.0,,1335.0,69.0,0.0,33.0,NemrutDag,kn-889,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-891,,Nemrut Dağ,69535.0,358306.0,35560.0,3273.0,879.0,572.0,20886.0,192.0,205.0,0.0,,1268.0,63.0,0.0,22.0,NemrutDag,kn-891,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-892,,Nemrut Dağ,70600.0,359899.0,37414.0,2991.0,887.0,520.0,21667.0,188.0,212.0,0.0,,1283.0,66.0,0.0,30.0,NemrutDag,kn-892,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
