Unnamed: 0,Ti,Mn,Fe,Zn,Ga,Rb,Sr,Y,Zr,Nb,Ba,Pb,Th,Source,Unnamed: 15,Unnamed: 16,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
KT.051,1127.0,290.0,12946.0,72.0,12.0,197.0,42.0,29.0,293.0,18.0,467.0,29.0,24.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.054,1431.0,360.0,15041.0,53.0,19.0,229.0,48.0,31.0,335.0,23.0,487.0,39.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.055,1193.0,362.0,14866.0,55.0,24.0,233.0,48.0,30.0,333.0,22.0,,31.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.056,1491.0,410.0,16409.0,71.0,29.0,251.0,50.0,36.0,343.0,16.0,489.0,47.0,31.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.057,1423.0,375.0,15149.0,64.0,18.0,231.0,46.0,33.0,338.0,16.0,508.0,42.0,28.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.063,1298.0,382.0,14836.0,100.0,20.0,240.0,54.0,32.0,327.0,19.0,467.0,38.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.064,1085.0,307.0,12753.0,55.0,13.0,193.0,43.0,34.0,297.0,21.0,477.0,29.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.066,1450.0,380.0,15960.0,65.0,24.0,246.0,52.0,35.0,348.0,18.0,475.0,47.0,35.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.067,1200.0,359.0,14425.0,56.0,17.0,218.0,47.0,34.0,322.0,18.0,531.0,35.0,37.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.068,1479.0,394.0,16356.0,76.0,24.0,241.0,51.0,34.0,342.0,16.0,514.0,39.0,30.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.070,1457.0,378.0,15755.0,72.0,24.0,244.0,51.0,34.0,332.0,20.0,468.0,42.0,31.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.072,1503.0,383.0,15756.0,58.0,23.0,230.0,48.0,34.0,339.0,23.0,488.0,40.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.075,1289.0,377.0,14841.0,54.0,17.0,229.0,48.0,32.0,334.0,15.0,526.0,37.0,31.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.076,1392.0,366.0,15265.0,84.0,19.0,235.0,48.0,31.0,332.0,17.0,495.0,38.0,25.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.077,1412.0,395.0,15615.0,59.0,18.0,239.0,49.0,34.0,343.0,20.0,511.0,38.0,32.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.078,1295.0,357.0,14814.0,68.0,18.0,208.0,42.0,34.0,310.0,19.0,480.0,35.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.079,1422.0,361.0,15625.0,58.0,20.0,230.0,51.0,33.0,338.0,21.0,469.0,38.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.081,1329.0,352.0,14889.0,79.0,12.0,224.0,45.0,29.0,319.0,18.0,514.0,35.0,23.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.082,1283.0,371.0,14902.0,50.0,21.0,224.0,47.0,31.0,324.0,17.0,404.0,42.0,24.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.084,1414.0,391.0,16214.0,70.0,26.0,247.0,50.0,32.0,343.0,17.0,517.0,42.0,40.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.085,1279.0,383.0,14506.0,55.0,21.0,218.0,53.0,29.0,333.0,19.0,534.0,36.0,26.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.089,1129.0,304.0,12016.0,45.0,17.0,183.0,41.0,28.0,285.0,15.0,477.0,31.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.090,1411.0,396.0,17398.0,70.0,21.0,242.0,47.0,34.0,330.0,21.0,416.0,41.0,37.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.091,1355.0,362.0,15346.0,64.0,21.0,231.0,50.0,34.0,335.0,19.0,496.0,36.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.095,1379.0,363.0,15359.0,66.0,22.0,231.0,47.0,29.0,329.0,15.0,469.0,36.0,22.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.097,1308.0,359.0,15365.0,74.0,27.0,244.0,50.0,31.0,337.0,20.0,483.0,41.0,22.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.099,1177.0,340.0,13376.0,43.0,18.0,209.0,45.0,28.0,311.0,19.0,461.0,31.0,24.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.101,1459.0,387.0,16351.0,62.0,17.0,245.0,50.0,34.0,336.0,14.0,472.0,38.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.102,1339.0,429.0,16022.0,70.0,25.0,256.0,50.0,32.0,346.0,20.0,459.0,44.0,35.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.104,1417.0,373.0,15322.0,56.0,23.0,234.0,47.0,35.0,328.0,15.0,479.0,40.0,32.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.108,1288.0,347.0,14023.0,50.0,13.0,220.0,44.0,28.0,322.0,18.0,496.0,36.0,25.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.109,1273.0,361.0,14798.0,52.0,19.0,225.0,42.0,30.0,321.0,18.0,504.0,36.0,27.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.112,1486.0,345.0,15741.0,64.0,23.0,233.0,50.0,31.0,337.0,20.0,486.0,42.0,29.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.113,1354.0,360.0,15484.0,52.0,21.0,232.0,51.0,26.0,338.0,16.0,486.0,39.0,30.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.115,1098.0,289.0,11943.0,48.0,20.0,180.0,37.0,30.0,283.0,14.0,449.0,32.0,23.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.116,1322.0,362.0,14396.0,47.0,22.0,220.0,47.0,33.0,322.0,16.0,445.0,36.0,21.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.117,1298.0,339.0,13558.0,47.0,20.0,207.0,624.0,30.0,309.0,18.0,502.0,36.0,22.0,Bingöl,B,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.001,1126.0,459.0,24886.0,222.0,32.0,290.0,6.0,139.0,1391.0,75.0,,90.0,40.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.003,1507.0,637.0,32664.0,211.0,36.0,264.0,10.0,129.0,1237.0,58.0,12.0,82.0,31.0,Bingöl,A,,BingolB,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.011,1199.0,423.0,22248.0,199.0,34.0,244.0,5.0,125.0,1325.0,69.0,,69.0,34.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.012,1367.0,593.0,29605.0,191.0,46.0,239.0,3.0,122.0,1145.0,56.0,,78.0,30.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.018,1379.0,602.0,30106.0,211.0,40.0,243.0,7.0,132.0,1279.0,60.0,,78.0,36.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.020,1337.0,629.0,30064.0,212.0,42.0,245.0,8.0,115.0,1179.0,59.0,,75.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.021,1177.0,545.0,28590.0,250.0,42.0,304.0,4.0,147.0,1427.0,72.0,,105.0,34.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.022,1625.0,707.0,33224.0,212.0,39.0,228.0,3.0,116.0,1101.0,57.0,,61.0,25.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.024,1007.0,397.0,23079.0,202.0,30.0,256.0,3.0,133.0,1281.0,61.0,,75.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.025,1458.0,624.0,31910.0,214.0,34.0,253.0,5.0,125.0,1212.0,63.0,,76.0,30.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.035,1127.0,487.0,25798.0,219.0,29.0,288.0,4.0,147.0,1387.0,72.0,,92.0,34.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.039,1226.0,471.0,26704.0,221.0,34.0,296.0,4.0,153.0,1417.0,66.0,,94.0,41.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.043,1418.0,585.0,28928.0,191.0,34.0,243.0,3.0,121.0,1170.0,63.0,,76.0,32.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
