Unnamed: 0,Ti,Mn,Fe,Zn,Ga,Rb,Sr,Y,Zr,Nb,Ba,Pb,Th,Source,Unnamed: 15,Unnamed: 16,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
KT.114,1382.0,609.0,28828.0,179.0,31.0,235.0,4.0,119.0,1169.0,62.0,,70.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.118,1300.0,510.0,28696.0,211.0,35.0,268.0,4.0,136.0,1306.0,66.0,,85.0,30.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.120,1228.0,468.0,24288.0,258.0,36.0,247.0,3.0,123.0,1316.0,66.0,,70.0,28.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.010,1166.0,490.0,21848.0,199.0,41.0,222.0,7.0,121.0,1251.0,68.0,,66.0,31.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.017,1155.0,481.0,22111.0,193.0,27.0,232.0,3.0,124.0,1301.0,71.0,,60.0,23.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.034,1129.0,475.0,22361.0,213.0,31.0,237.0,3.0,125.0,1297.0,70.0,,67.0,28.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.040,1258.0,436.0,21239.0,174.0,33.0,226.0,4.0,115.0,1265.0,72.0,,56.0,29.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.044,1249.0,516.0,24224.0,215.0,39.0,247.0,,127.0,1316.0,70.0,,70.0,26.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.045,1228.0,489.0,22501.0,204.0,34.0,231.0,8.0,126.0,1284.0,73.0,,61.0,25.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.052,1162.0,473.0,22199.0,179.0,29.0,225.0,5.0,120.0,1242.0,65.0,,64.0,26.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.053,1161.0,491.0,22292.0,204.0,25.0,219.0,4.0,122.0,1239.0,67.0,,65.0,25.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.069,1091.0,490.0,22421.0,199.0,33.0,235.0,6.0,125.0,1279.0,70.0,,67.0,31.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.071,1094.0,461.0,21333.0,194.0,31.0,225.0,4.0,118.0,1255.0,61.0,,63.0,29.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.092,1074.0,456.0,20524.0,184.0,34.0,213.0,4.0,116.0,1228.0,68.0,,57.0,25.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.094,2150.0,1221.0,54386.0,319.0,33.0,222.0,10.0,161.0,1546.0,84.0,21.0,101.0,25.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.106,1214.0,464.0,22543.0,196.0,29.0,228.0,,123.0,1275.0,76.0,,65.0,26.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.111,1153.0,462.0,22018.0,184.0,36.0,237.0,5.0,121.0,1297.0,65.0,,67.0,31.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.119,1102.0,493.0,21937.0,189.0,27.0,219.0,7.0,120.0,1242.0,70.0,,65.0,24.0,Nemrut,Da_x0002_g,,NemrutDag,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.060,806.0,457.0,12628.0,142.0,28.0,195.0,11.0,65.0,251.0,84.0,6.0,60.0,24.0,Mus¸,e,Konuk,Mus,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
Bekle,,,,,,,,,,,,,,,,,,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
