Source,sample_id,Nb,Zr,Sr,Rb,Fe,source,site,notes,verification_flag,paper,year,method,method_tier,units
Acıgöl3,ca12p1,19.641507,105.109875,73.134339,194.436209,7564.393889999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Acıgöl3,ca12r1a,18.135222,103.327875,76.46224600000001,183.389709,7295.315319999999,AciGol,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,18.30024623076923,102.1705096153846,75.67466992307692,186.65607407692303,7345.539028461537,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
artifact,Jabroud II,19.640256,59.162125,10.274319,188.862629,5606.7932,artifact,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
artifact,Jabroud II,19.761312000000004,59.1725,10.559277,191.18227700000003,5531.868208,artifact,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
artifact,Jabroud II,18.895296,59.61862500000001,10.036854,192.946176,5589.519516,artifact,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
artifact,Jabroud II,20.478336,58.20762500000001,11.034207,190.699017,5538.427245999999,artifact,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
artifact,Jabroud II,19.919616,59.44225,11.39832,190.191594,5602.99423,artifact,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,19.7389632,59.120625,10.6605954,190.7763386,5573.92048,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea52b2,17.185806000000003,309.067875,53.453511,223.400132,11856.61891,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea52b3,16.391583,306.37462500000004,52.784745,219.136183,11835.095368,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea53b1,16.674582,302.50687500000004,54.806966,220.307112,11647.337102,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea53b2,13.844592000000002,307.123875,51.972672,214.47456,11648.455118999998,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea54b1,16.674582,305.04825,48.549227,227.95129,11711.653944999998,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea55b1,17.934384,310.10062500000004,57.625337,226.802454,12038.965425,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea55b2,14.949201000000002,302.73975,55.25281,212.132702,11620.559566,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Bingöl B,ea56b1,16.473744,302.972625,58.469256,220.748972,11741.812968,BingolB,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,16.26605925,305.7418125,54.1143155,220.619175625,11762.562300375,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca22p1,18.536898000000004,119.03175,91.461712,176.607158,7537.458597,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca22p3,20.180118000000004,116.4195,87.719807,174.92808999999997,7479.788124999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca22r1,16.647195000000004,107.377875,88.53188,171.19437299999998,7475.350352,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca23p1,18.97509,119.7,92.544476,174.08855599999998,7482.867815999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca23p3a,17.605740000000004,114.54637499999998,91.461712,174.79553199999998,7502.621736,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca23r1a,17.42316,110.44575,88.99364700000001,174.48622999999998,7359.234340999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca23r1b,17.140161000000003,111.114,89.566875,174.839718,7233.625474,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ1,ca24r1,14.620557,111.14437499999998,90.251564,177.49087799999995,7592.646111,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,17.641114875,113.722453125,90.06645912500001,174.80381687499994,7457.949068999999,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca14p1,17.669643000000004,63.20250000000001,47.116157,174.464137,6045.145967,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca14p1a,18.682962000000003,66.564,45.937855000000006,173.66878899999998,5941.918017,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca14p2,17.076258000000003,65.41987499999999,45.651241000000006,168.94088699999998,6257.630928,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca21p2,15.661263000000002,80.41499999999999,44.441093,141.65603199999998,6241.855227999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca21r1a,13.278594000000002,65.61224999999999,42.641794,141.89905499999998,5955.786915,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca21r1b,14.556654000000004,62.13937500000001,43.915634,137.657199,5703.499177,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ2,ca21r1b,15.341748000000004,72.770625,44.695861,142.849054,6059.817368,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ3,ca16r2,18.783381,61.876125,11.416791,206.786196,5473.626651,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ3,ca17p2,21.394275,60.6915,8.009269000000002,213.193166,5497.413662999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ3,ca18r1,18.199125,59.020875,7.48381,210.122239,5498.572834,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Göllü Daǧ3,ca18r2,21.759435,61.44074999999999,9.617492,212.04433,5445.086351999999,GolluDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,17.491212545454548,65.3775340909091,31.90245427272728,174.8437349090909,5829.123009090909,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca28p1,13.871979000000003,39.297375,72.163036,131.913019,5194.904327,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Hasan Daǧ,ca28p2,11.662761,42.0615,74.51964,130.47697399999998,5075.907536,HasanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
