sample_id,Na2O,Al2O3,SiO2,K2O,CaO,Fe2O3,Li,B,Mg,P,Ti,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Hf,Th,U,source_raw,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
Göllüdag1,3.85,13.6,76.4,4.41,0.7,0.79,45,35,305,133,426,170,30.0,18,76,23,6.2,359,33,55,4.5,13.0,2.6,25,7.3,Göllüdag1,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag2,3.91,14.3,75.0,4.37,0.9,1.14,47,40,580,157,623,175,54.0,19,121,21,6.6,420,37,63,5.1,15.0,3.4,25,8.0,Göllüdag2,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag3,4.23,12.6,76.5,4.7,1.0,0.78,43,37,212,168,331,181,13.0,17,74,22,6.1,194,18,39,3.0,9.0,1.9,18,8.0,Göllüdag3,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag4a,3.96,13.6,76.2,4.46,0.66,0.77,51,39,193,202,324,192,6.7,21,69,27,7.5,77,22,42,3.2,11.0,2.6,19,8.4,Göllüdag4a,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag4b,4.08,13.6,75.9,4.44,0.73,0.76,50,38,199,184,342,187,7.6,20,68,26,7.3,98,22,41,3.1,10.0,2.3,19,7.9,Göllüdag4b,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag5,3.95,13.2,76.6,4.55,0.54,0.8,51,38,215,137,351,188,9.0,20,70,25,7.3,126,22,42,3.5,11.0,2.5,20,8.3,Göllüdag5,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag6,4.28,12.8,76.3,4.72,0.74,0.74,63,43,289,170,306,193,8.6,21,66,25,7.4,90,21,41,3.5,10.0,2.6,17,8.6,Göllüdag6,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
Göllüdag7,4.13,12.7,76.4,4.75,0.8,0.81,57,42,174,195,310,199,5.6,19,61,27,8.1,55,19,38,2.8,9.5,1.9,16,9.3,Göllüdag7,EGD,,Göllüdag1-7 + 4a/4b sub-outcrops; all mapped to EGD (Göllü Dağ East quarry zone),True,Binder et al. 2011,2011,LA-ICP-MS,1,mixed (oxide wt% + ppm),True
