paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Eksisu,Pasinler Eksisu,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,132.0,95.0,12.0,183.0,21.0,,440.0,11237.0,46.0,14.0,,,21.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Eksisu,Pasinler Eksisu,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,131.0,102.0,12.0,176.0,20.0,,428.0,11473.0,43.0,14.0,,,22.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,190.0,0.7,34.0,188.0,29.0,,362.0,7754.0,37.0,15.0,,,34.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,180.0,0.7,32.0,181.0,28.0,,368.0,7406.0,32.0,14.0,,,31.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,176.0,4.1,33.0,281.0,28.0,,416.0,9535.0,45.0,17.0,,,31.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,181.0,1.4,34.0,189.0,28.0,,375.0,7560.0,36.0,15.0,,,33.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,184.0,1.2,33.0,176.0,28.0,,378.0,7622.0,40.0,17.0,,,33.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,186.0,1.9,32.0,184.0,27.0,,361.0,7867.0,40.0,14.0,,,33.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Hamamli,Sarakamis Hamamli,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,140.0,4.0,47.0,263.0,30.0,,645.0,7921.0,64.0,16.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Hamamli,Sarakamis Hamamli,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,139.0,3.8,50.0,250.0,30.0,,647.0,7822.0,56.0,16.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Hamamli,Sarakamis Hamamli,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,145.0,3.9,49.0,286.0,31.0,,638.0,8030.0,62.0,18.0,,,20.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Hamamli,Sarakamis Hamamli,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,145.0,4.2,51.0,269.0,30.0,,647.0,8243.0,64.0,18.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Hamamli,Sarakamis Hamamli,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,146.0,3.6,50.0,264.0,30.0,,663.0,8411.0,71.0,18.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Sehetin,Sarakamis Sehetin,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,142.0,4.1,48.0,242.0,29.0,,617.0,7640.0,59.0,18.0,,,20.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Sehetin,Sarakamis Sehetin,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,141.0,3.8,49.0,240.0,29.0,,604.0,7655.0,66.0,15.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Sehetin,Sarakamis Sehetin,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,143.0,4.5,48.0,256.0,30.0,,611.0,7664.0,62.0,16.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Sehetin,Sarakamis Sehetin,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,136.0,4.6,48.0,248.0,30.0,,627.0,7680.0,61.0,16.0,,,18.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Sarakamis Sehetin,Sarakamis Sehetin,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,141.0,4.7,48.0,247.0,29.0,,637.0,7899.0,63.0,15.0,,,19.0
Carter & Rosenberg 2022,2022,EDXRF,2,source_sample,Suphan Dag,Suphan Dağ,Eastern Anatolia,,ppm,Tel Tsaf source reference samples,150.0,15.0,30.0,114.0,10.0,,262.0,9147.0,39.0,15.0,,,15.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,Bingol A or Nemrut Dag A,Bingöl A or Nemrut Dağ A,Eastern Anatolia,Bead 1,ppm,Tel Tsaf obsidian beads (artifacts),211.0,0.2,113.0,988.0,45.0,,490.0,28403.0,213.0,32.0,,,27.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 2,ppm,Tel Tsaf obsidian beads (artifacts),152.0,6.9,16.0,70.0,19.0,,354.0,5313.0,71.0,16.0,,,17.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,Bingol A or Nemrut Dag A,Bingöl A or Nemrut Dağ A,Eastern Anatolia,Bead 3,ppm,Tel Tsaf obsidian beads (artifacts),160.0,0.8,83.0,829.0,35.0,,455.0,24130.0,195.0,35.0,,,25.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,Pasinler Tizgi,Pasinler Tizgi,Eastern Anatolia,Bead 4,ppm,Tel Tsaf obsidian beads (artifacts),156.0,0.3,29.0,183.0,22.0,,312.0,7910.0,62.0,14.0,,,25.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 5,ppm,Tel Tsaf obsidian beads (artifacts),173.0,7.8,16.0,61.0,19.0,,376.0,5640.0,46.0,14.0,,,17.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 6,ppm,Tel Tsaf obsidian beads (artifacts),164.0,6.5,15.0,63.0,18.0,,353.0,5485.0,49.0,15.0,,,14.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 7,ppm,Tel Tsaf obsidian beads (artifacts),195.0,8.3,15.0,73.0,19.0,,498.0,6756.0,61.0,18.0,,,19.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 8,ppm,Tel Tsaf obsidian beads (artifacts),166.0,7.8,15.0,56.0,19.0,,390.0,5830.0,62.0,13.0,,,15.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag,East Göllü Dağ,Central Anatolia (Cappadocia),Bead 13,ppm,Tel Tsaf obsidian beads (artifacts),160.0,3.9,13.0,41.0,16.0,,371.0,5971.0,94.0,18.0,,,17.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag?,East Göllü Dağ?,Central Anatolia (Cappadocia),Bead 14,ppm,Tel Tsaf obsidian beads (artifacts),188.0,9.9,20.0,58.0,47.0,,527.0,4006.0,45.0,14.0,,,21.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,Bingol B,Bingöl B,Eastern Anatolia,Bead 15,ppm,Tel Tsaf obsidian beads (artifacts),182.0,33.0,19.0,222.0,13.0,,195.0,12903.0,127.0,23.0,,,22.0
Carter & Rosenberg 2022,2022,EDXRF,2,artifact_assigned,East Gollu Dag?,East Göllü Dağ?,Central Anatolia (Cappadocia),Bead 16,ppm,Tel Tsaf obsidian beads (artifacts),132.0,4.7,9.3,23.0,12.0,,373.0,6171.0,131.0,19.0,,,15.0
