paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.086,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,219.0,4.0,110.0,1082.0,52.0,1291.0,555.0,26769.0,188.0,36.0,,64.0,24.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.087,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,241.0,6.0,120.0,1171.0,59.0,1337.0,598.0,29320.0,185.0,35.0,,75.0,24.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.088,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,239.0,5.0,121.0,1165.0,52.0,1333.0,597.0,29048.0,224.0,40.0,,73.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.093,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,309.0,8.0,145.0,1419.0,66.0,1357.0,473.0,29804.0,248.0,42.0,,98.0,38.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.096,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,249.0,7.0,124.0,1191.0,56.0,1452.0,628.0,30718.0,211.0,42.0,,80.0,35.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.098,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,243.0,5.0,118.0,1159.0,57.0,1482.0,624.0,30267.0,195.0,40.0,,76.0,28.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.100,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,243.0,7.0,120.0,1180.0,54.0,1403.0,629.0,29219.0,182.0,37.0,,72.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.103,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,230.0,3.0,121.0,1152.0,58.0,1169.0,506.0,24364.0,171.0,29.0,,75.0,26.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.105,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,284.0,3.0,145.0,1363.0,62.0,1161.0,489.0,26995.0,219.0,30.0,,97.0,41.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.107,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,296.0,3.0,147.0,1436.0,69.0,1236.0,511.0,28580.0,242.0,36.0,,110.0,42.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.110,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,248.0,6.0,123.0,1199.0,62.0,1397.0,629.0,31199.0,216.0,38.0,,77.0,33.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.114,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,235.0,4.0,119.0,1169.0,62.0,1382.0,609.0,28828.0,179.0,31.0,,70.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.118,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,268.0,4.0,136.0,1306.0,66.0,1300.0,510.0,28696.0,211.0,35.0,,85.0,30.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.120,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,247.0,3.0,123.0,1316.0,66.0,1228.0,468.0,24288.0,258.0,36.0,,70.0,28.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.010,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,222.0,7.0,121.0,1251.0,68.0,1166.0,490.0,21848.0,199.0,41.0,,66.0,31.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.017,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,232.0,3.0,124.0,1301.0,71.0,1155.0,481.0,22111.0,193.0,27.0,,60.0,23.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.034,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,237.0,3.0,125.0,1297.0,70.0,1129.0,475.0,22361.0,213.0,31.0,,67.0,28.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.040,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,226.0,4.0,115.0,1265.0,72.0,1258.0,436.0,21239.0,174.0,33.0,,56.0,29.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.044,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,247.0,,127.0,1316.0,70.0,1249.0,516.0,24224.0,215.0,39.0,,70.0,26.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.045,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,231.0,8.0,126.0,1284.0,73.0,1228.0,489.0,22501.0,204.0,34.0,,61.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.052,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,225.0,5.0,120.0,1242.0,65.0,1162.0,473.0,22199.0,179.0,29.0,,64.0,26.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.053,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,219.0,4.0,122.0,1239.0,67.0,1161.0,491.0,22292.0,204.0,25.0,,65.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.069,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,235.0,6.0,125.0,1279.0,70.0,1091.0,490.0,22421.0,199.0,33.0,,67.0,31.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.071,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,225.0,4.0,118.0,1255.0,61.0,1094.0,461.0,21333.0,194.0,31.0,,63.0,29.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.092,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,213.0,4.0,116.0,1228.0,68.0,1074.0,456.0,20524.0,184.0,34.0,,57.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.094,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,222.0,10.0,161.0,1546.0,84.0,2150.0,1221.0,54386.0,319.0,33.0,21.0,101.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.106,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,228.0,,123.0,1275.0,76.0,1214.0,464.0,22543.0,196.0,29.0,,65.0,26.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.111,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,237.0,5.0,121.0,1297.0,65.0,1153.0,462.0,22018.0,184.0,36.0,,67.0,31.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Nemrut Dag,Nemrut Dağ,Eastern Anatolia,KT.119,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,219.0,7.0,120.0,1242.0,70.0,1102.0,493.0,21937.0,189.0,27.0,,65.0,24.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Mus ̧ e Konuk Bekler,Muşe Konuk Bekler,Eastern Anatolia,KT.060,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,195.0,11.0,65.0,251.0,84.0,806.0,457.0,12628.0,142.0,28.0,6.0,60.0,24.0
