paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.011,ppm,Shaʿar Hagolan artifacts assigned to source,178.0,107.0,20.0,144.0,23.0,1179.0,426.0,10311.0,,,886.0,27.0,44.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.013,ppm,Shaʿar Hagolan artifacts assigned to source,176.0,105.0,22.0,141.0,21.0,1150.0,461.0,10535.0,,,855.0,27.0,52.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.014,ppm,Shaʿar Hagolan artifacts assigned to source,171.0,103.0,23.0,149.0,21.0,1202.0,423.0,10162.0,,,923.0,27.0,46.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.018,ppm,Shaʿar Hagolan artifacts assigned to source,181.0,104.0,21.0,142.0,24.0,1288.0,463.0,10817.0,,,821.0,28.0,52.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.020,ppm,Shaʿar Hagolan artifacts assigned to source,180.0,105.0,21.0,145.0,18.0,1240.0,504.0,11323.0,,,815.0,28.0,44.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.023,ppm,Shaʿar Hagolan artifacts assigned to source,167.0,98.0,20.0,144.0,17.0,1057.0,420.0,9629.0,,,865.0,26.0,42.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.024,ppm,Shaʿar Hagolan artifacts assigned to source,166.0,98.0,21.0,138.0,16.0,1185.0,404.0,9848.0,,,801.0,26.0,32.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.025,ppm,Shaʿar Hagolan artifacts assigned to source,173.0,103.0,22.0,144.0,18.0,1031.0,439.0,10403.0,,,844.0,27.0,35.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.026,ppm,Shaʿar Hagolan artifacts assigned to source,185.0,107.0,23.0,148.0,20.0,1151.0,488.0,11065.0,,,842.0,31.0,42.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.028,ppm,Shaʿar Hagolan artifacts assigned to source,172.0,103.0,20.0,143.0,17.0,1026.0,447.0,10390.0,,,867.0,28.0,38.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.029,ppm,Shaʿar Hagolan artifacts assigned to source,162.0,99.0,22.0,142.0,19.0,1076.0,421.0,9584.0,,,798.0,27.0,44.0
Carter et al 2017,2017,EDXRF,2,artifact_assigned,Nenezi Dağ,Nenezi Dağ,Central Anatolia (Cappadocia),SH.035,ppm,Shaʿar Hagolan artifacts assigned to source,172.0,101.0,20.0,144.0,17.0,1130.0,453.0,10195.0,,,821.0,27.0,34.0
