paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,194.0,11.0,,76.0,,298.0,466.0,4414.0,20.0,,124.0,27.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,179.0,11.0,,75.0,,312.0,430.0,3891.0,17.0,,117.0,26.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,187.0,12.0,,74.0,,229.0,463.0,4225.0,16.0,,142.0,25.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,178.0,14.0,,75.0,,307.0,455.0,4066.0,14.0,,123.0,31.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,176.0,8.0,,76.0,,237.0,421.0,3868.0,17.0,,107.0,24.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,168.0,14.0,,71.0,,417.0,425.0,3949.0,14.0,,130.0,26.0,
Milic 2014,2014,pXRF,1,source_sample,Göllü Dag,Göllü Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,166.0,16.0,,69.0,,573.0,344.0,4196.0,20.0,,159.0,23.0,
Milic 2014,2014,pXRF,1,source_sample,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,158.0,99.0,,137.0,,773.0,497.0,6653.0,34.0,,380.0,37.0,
Milic 2014,2014,pXRF,1,source_sample,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,148.0,100.0,,137.0,,812.0,455.0,6093.0,33.0,,374.0,33.0,
Milic 2014,2014,pXRF,1,source_sample,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,143.0,97.0,,132.0,,514.0,456.0,5557.0,29.0,,413.0,31.0,
Milic 2014,2014,pXRF,1,source_sample,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,155.0,99.0,,137.0,,859.0,439.0,6779.0,32.0,,420.0,36.0,
Milic 2014,2014,pXRF,1,source_sample,Nenezi Dag,Nenezi Dağ,Central Anatolia (Cappadocia),,ppm,per-sample block,156.0,98.0,,135.0,,807.0,431.0,6203.0,34.0,,396.0,32.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,107.0,102.0,,105.0,,843.0,440.0,5821.0,28.0,,405.0,18.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,112.0,97.0,,111.0,,830.0,400.0,5672.0,26.0,,280.0,16.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,111.0,99.0,,108.0,,954.0,446.0,5882.0,25.0,,338.0,15.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,110.0,103.0,,110.0,,892.0,442.0,5859.0,24.0,,369.0,14.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,108.0,107.0,,107.0,,827.0,412.0,5583.0,27.0,,322.0,16.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,103.0,98.0,,104.0,,830.0,392.0,5460.0,24.0,,310.0,14.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,111.0,93.0,,109.0,,874.0,417.0,5171.0,27.0,,336.0,14.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Adamas,Melos Adamas,Aegean,,ppm,per-sample block,105.0,98.0,,102.0,,913.0,427.0,5618.0,21.0,,407.0,18.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,97.0,109.0,,117.0,,1158.0,354.0,7231.0,20.0,,339.0,17.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,97.0,105.0,,110.0,,1146.0,399.0,6902.0,20.0,,315.0,15.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,95.0,105.0,,112.0,,1162.0,390.0,6997.0,27.0,,378.0,16.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,98.0,109.0,,109.0,,1125.0,381.0,7166.0,33.0,,255.0,15.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,95.0,108.0,,114.0,,1113.0,379.0,6849.0,29.0,,312.0,13.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,91.0,106.0,,112.0,,1145.0,369.0,6824.0,27.0,,309.0,16.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,98.0,114.0,,108.0,,1294.0,374.0,7191.0,25.0,,304.0,19.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,99.0,110.0,,121.0,,1125.0,432.0,7276.0,32.0,,358.0,10.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,96.0,114.0,,115.0,,1149.0,374.0,6873.0,32.0,,315.0,15.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,98.0,111.0,,119.0,,1163.0,384.0,7056.0,27.0,,323.0,19.0,
Milic 2014,2014,pXRF,1,source_sample,Melos Demenegaki,Melos Demenegaki,Aegean,,ppm,per-sample block,103.0,114.0,,121.0,,1206.0,412.0,7218.0,22.0,,365.0,15.0,
Milic 2014,2014,pXRF,1,source_sample,Giali,Giali,Aegean,,ppm,per-sample block,122.0,62.0,,99.0,,776.0,251.0,5111.0,18.0,,509.0,24.0,
Milic 2014,2014,pXRF,1,source_sample,Giali,Giali,Aegean,,ppm,per-sample block,124.0,60.0,,94.0,,674.0,257.0,4552.0,21.0,,552.0,20.0,
Milic 2014,2014,pXRF,1,source_sample,Giali,Giali,Aegean,,ppm,per-sample block,118.0,66.0,,97.0,,560.0,219.0,4221.0,17.0,,420.0,21.0,
Milic 2014,2014,pXRF,1,source_sample,Giali,Giali,Aegean,,ppm,per-sample block,122.0,64.0,,95.0,,544.0,239.0,4513.0,18.0,,520.0,19.0,
Milic 2014,2014,pXRF,1,source_sample,Giali,Giali,Aegean,,ppm,per-sample block,121.0,61.0,,96.0,,510.0,212.0,4484.0,20.0,,475.0,21.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,155.0,73.0,,69.0,,232.0,300.0,5536.0,23.0,,359.0,33.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,154.0,76.0,,69.0,,188.0,282.0,5404.0,21.0,,326.0,31.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,163.0,77.0,,63.0,,223.0,305.0,5261.0,23.0,,280.0,32.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,156.0,65.0,,62.0,,231.0,291.0,4768.0,22.0,,420.0,27.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,172.0,73.0,,68.0,,231.0,326.0,5187.0,22.0,,305.0,38.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,168.0,75.0,,74.0,,229.0,308.0,5456.0,22.0,,351.0,33.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 1,Carpathian 1,Central Europe,,ppm,per-sample block,173.0,64.0,,67.0,,170.0,340.0,5483.0,20.0,,307.0,38.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,174.0,71.0,,128.0,,1701.0,421.0,11671.0,46.0,,367.0,34.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,185.0,75.0,,122.0,,364.0,258.0,7335.0,46.0,,408.0,39.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,164.0,70.0,,129.0,,682.0,300.0,7315.0,32.0,,416.0,28.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,181.0,71.0,,126.0,,327.0,289.0,7512.0,37.0,,459.0,42.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,165.0,72.0,,118.0,,326.0,286.0,7052.0,35.0,,407.0,27.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,173.0,72.0,,123.0,,331.0,296.0,7108.0,36.0,,461.0,27.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,176.0,73.0,,128.0,,2356.0,278.0,12551.0,43.0,,385.0,38.0,
Milic 2014,2014,pXRF,1,source_sample,Carpathian 2,Carpathian 2,Central Europe,,ppm,per-sample block,174.0,74.0,,133.0,,2032.0,292.0,11361.0,38.0,,572.0,33.0,
Milic 2014,2014,pXRF,1,source_sample,Antiparos,Antiparos,Aegean,,ppm,per-sample block,367.0,10.0,,128.0,,439.0,509.0,4206.0,24.0,,153.0,57.0,
