source,method_tier,tier_label,n_samples,papers,Rb_n,Rb_mean,Rb_sd,Rb_min,Rb_max,Sr_n,Sr_mean,Sr_sd,Sr_min,Sr_max,Zr_n,Zr_mean,Zr_sd,Zr_min,Zr_max,Nb_n,Nb_mean,Nb_sd,Nb_min,Nb_max,Y_n,Y_mean,Y_sd,Y_min,Y_max,Fe_n,Fe_mean,Fe_sd,Fe_min,Fe_max,Mn_n,Mn_mean,Mn_sd,Mn_min,Mn_max,Zn_n,Zn_mean,Zn_sd,Zn_min,Zn_max,Ti_n,Ti_mean,Ti_sd,Ti_min,Ti_max,Ba_n,Ba_mean,Ba_sd,Ba_min,Ba_max,Th_n,Th_mean,Th_sd,Th_min,Th_max,Pb_n,Pb_mean,Pb_sd,Pb_min,Pb_max,Ga_n,Ga_mean,Ga_sd,Ga_min,Ga_max,La_n,La_mean,La_sd,La_min,La_max,Ce_n,Ce_mean,Ce_sd,Ce_min,Ce_max,Sm_n,Sm_mean,Sm_sd,Sm_min,Sm_max,Eu_n,Eu_mean,Eu_sd,Eu_min,Eu_max,Yb_n,Yb_mean,Yb_sd,Yb_min,Yb_max,Lu_n,Lu_mean,Lu_sd,Lu_min,Lu_max
BingolA,1,pXRF/EDXRF,152,Campbell & Healey 2016; Schechter et al. 2016,152,229.55,21.27,198.0,318.0,152,0.25,0.64,0.0,3.0,152,1238.45,91.4,1048.0,1456.0,152,61.02,6.35,47.0,82.0,39,132.92,22.16,92.0,180.0,152,30348.74,3169.02,20532.0,43192.0,152,656.21,90.1,396.0,840.0,152,205.8,22.25,152.0,307.0,122,1211.62,104.09,995.0,1575.0,122,17.18,43.22,0.0,179.0,30,31.0,5.3,24.0,43.0,122,36.5,4.46,22.0,48.0,30,28.73,5.3,22.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolA,2,ICP-MS/INAA,41,Carter et al. 2013 (Kenan Tepe); Rosen et al. 2011; Rosenberg & Carter et al. 2022,38,257.0,24.57,219.0,309.0,38,4.77,1.45,3.0,8.0,38,1269.18,111.08,1082.0,1436.0,38,62.08,6.08,52.0,77.0,38,131.34,12.86,110.0,155.0,38,28831.45,2631.93,22248.0,33224.0,38,564.89,70.86,397.0,707.0,38,212.24,23.38,171.0,267.0,34,1323.06,128.87,1007.0,1625.0,0,,,,,38,32.0,5.28,24.0,42.0,34,81.24,12.73,61.0,110.0,38,35.32,4.41,29.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolA,3,XRF (lab),2,"Khalidi, Gratuze & Boucetta 2009",2,293.0,5.66,289.0,297.0,2,0.5,0.0,0.5,0.5,2,1457.5,2.12,1456.0,1459.0,2,77.0,2.83,75.0,79.0,2,157.0,0.0,157.0,157.0,2,28273.5,79.9,28217.0,28330.0,2,461.0,1.41,460.0,462.0,2,273.0,5.66,269.0,277.0,2,1127.5,3.54,1125.0,1130.0,2,1.95,0.07,1.9,2.0,2,37.5,0.71,37.0,38.0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolB,0,ALL (combined),240,"Campbell & Healey 2016; Carter et al. 2013 (Kenan Tepe); Frahm & Hauck 2017; Khalidi, Gratuze & Boucetta 2009; Rosenberg & Carter et al. 2022; Schechter et al. 2016",240,225.82,19.5,180.0,309.0,240,48.37,37.87,10.0,624.0,240,332.97,63.77,283.0,1237.0,240,18.29,3.37,13.0,58.0,119,34.4,9.67,26.0,129.0,240,14343.1,1921.87,11620.56,32664.0,232,361.74,66.37,122.0,637.0,232,56.17,16.55,36.0,211.0,193,1244.85,121.01,1053.0,1700.0,192,340.41,140.52,12.0,547.0,109,29.0,3.97,21.0,40.0,192,32.45,6.78,22.0,82.0,108,22.86,5.61,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolB,1,pXRF/EDXRF,157,Campbell & Healey 2016; Schechter et al. 2016,157,223.87,20.96,200.0,309.0,157,44.64,3.68,38.95,58.0,157,327.37,14.21,300.0,376.0,157,18.04,1.97,14.0,24.0,44,36.41,4.87,31.0,53.0,157,14032.94,1456.81,12155.17,20337.0,157,358.32,74.5,122.0,514.0,157,50.93,7.37,36.0,72.0,123,1182.86,70.21,1053.0,1501.49,123,264.14,109.55,53.1,519.0,34,29.59,3.36,25.0,36.0,123,28.71,2.81,22.0,38.0,34,27.59,5.33,19.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolB,2,ICP-MS/INAA,74,Carter et al. 2013 (Kenan Tepe); Rosenberg & Carter et al. 2022,74,230.31,16.4,180.0,273.0,74,55.88,67.61,10.0,624.0,74,347.5,111.86,283.0,1237.0,74,19.01,5.25,13.0,58.0,74,33.24,11.54,26.0,129.0,74,15302.81,2376.24,11943.0,32664.0,74,369.74,44.14,289.0,637.0,74,67.3,23.79,43.0,211.0,69,1354.93,115.08,1085.0,1700.0,68,478.87,65.48,12.0,547.0,74,28.76,4.24,21.0,40.0,69,39.13,6.65,29.0,82.0,74,20.69,4.25,12.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BingolB,3,XRF (lab),9,"Frahm & Hauck 2017; Khalidi, Gratuze & Boucetta 2009",9,222.88,8.52,212.13,241.0,9,51.77,7.64,33.0,58.47,9,311.21,16.65,302.51,355.0,9,16.68,1.73,13.84,20.0,1,32.0,,32.0,32.0,9,11862.83,328.61,11620.56,12665.0,1,307.0,,307.0,307.0,1,55.0,,55.0,55.0,1,1274.0,,1274.0,1274.0,1,306.0,,306.0,306.0,1,27.0,,27.0,27.0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Rhyolite,0,ALL (combined),1,Morgan 2015,1,14.0,,14.0,14.0,1,22.0,,22.0,22.0,1,21.0,,21.0,21.0,1,5.0,,5.0,5.0,1,10.0,,10.0,10.0,1,1535.0,,1535.0,1535.0,1,-135.0,,-135.0,-135.0,1,25.0,,25.0,25.0,1,188.0,,188.0,188.0,1,698.0,,698.0,698.0,1,3.0,,3.0,3.0,1,34.0,,34.0,34.0,1,15.0,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Rhyolite,1,pXRF/EDXRF,1,Morgan 2015,1,14.0,,14.0,14.0,1,22.0,,22.0,22.0,1,21.0,,21.0,21.0,1,5.0,,5.0,5.0,1,10.0,,10.0,10.0,1,1535.0,,1535.0,1535.0,1,-135.0,,-135.0,-135.0,1,25.0,,25.0,25.0,1,188.0,,188.0,188.0,1,698.0,,698.0,698.0,1,3.0,,3.0,3.0,1,34.0,,34.0,34.0,1,15.0,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpathian 1,0,ALL (combined),1,Milic 2014,1,163.5,,163.5,163.5,1,70.5,,70.5,70.5,1,68.0,,68.0,68.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
