Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
202.0,0.0,1265.0,66.0,,815.0,70.0,,,,NemrutDag,kn-025,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21166.0,572.0,174.0,28.0,,,,,,strong,4
201.0,0.0,1254.0,63.0,,859.0,0.0,,,,NemrutDag,kn-029,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20109.0,602.0,192.0,29.0,,,,,,strong,4
207.0,0.0,1294.0,65.0,,913.0,0.0,,,,NemrutDag,kn-031,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21101.0,559.0,199.0,32.0,,,,,,strong,4
207.0,0.0,1262.0,65.0,,886.0,0.0,,,,NemrutDag,kn-035,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21048.0,531.0,184.0,27.0,,,,,,strong,4
203.0,0.0,1249.0,64.0,,918.0,0.0,,,,NemrutDag,kn-036,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20776.0,574.0,184.0,25.0,,,,,,strong,4
214.0,0.0,1294.0,66.0,,903.0,0.0,,,,NemrutDag,kn-038,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21888.0,534.0,191.0,28.0,,,,,,strong,4
210.0,0.0,1277.0,66.0,,817.0,0.0,,,,NemrutDag,kn-042,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21494.0,491.0,192.0,28.0,,,,,,strong,4
205.0,0.0,1268.0,65.0,,895.0,0.0,,,,NemrutDag,kn-043,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21346.0,502.0,172.0,32.0,,,,,,strong,4
205.0,0.0,1250.0,61.0,,874.0,0.0,,,,NemrutDag,kn-044,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20459.0,612.0,180.0,25.0,,,,,,strong,4
210.0,0.0,1256.0,65.0,,912.0,0.0,,,,NemrutDag,kn-045,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21013.0,551.0,184.0,23.0,,,,,,strong,4
201.0,0.0,1267.0,64.0,,821.0,0.0,,,,NemrutDag,kn-046,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21120.0,498.0,190.0,27.0,,,,,,strong,4
214.0,0.0,1301.0,67.0,,937.0,0.0,,,,NemrutDag,kn-048,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21433.0,498.0,181.0,28.0,,,,,,strong,4
208.0,0.0,1280.0,67.0,,887.0,0.0,,,,NemrutDag,kn-050,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21300.0,523.0,182.0,28.0,,,,,,strong,4
258.0,0.0,1381.0,65.0,,886.0,0.0,,,,NemrutDag,kn-055,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,24671.0,500.0,215.0,45.0,,,,,,strong,4
