item_id,site,period,best_source,best_d2,best_p,confident,best_source_3el,best_d2_3el,best_p_3el,confident_3el,quality_flag,divergent_elements,locus,basket,Rb,Zr,Nb,2el_3el_agree
mot_40653,motza,EPPNB,GolluDag,7.084,0.029,False,GolluDag,8.966,0.0297,False,repeat_divergent,"Rb,Nb",4029,40653,86.67,63.33,23.33,True
mot_40653BS,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4029,40653BS,100.0,70.0,30.0,True
mot_40664,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4040,40664,95.0,70.0,25.0,True
mot_40665,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4040,40665,90.0,60.0,20.0,True
mot_40687,motza,EPPNB,GolluDag,5.783,0.0555,True,GolluDag,9.182,0.027,False,repeat_divergent,Nb,4040,40687,77.5,67.5,22.5,True
mot_40697a,motza,EPPNB,GolluDag,5.743,0.0566,True,GolluDag,10.295,0.0162,False,repeat_divergent,Nb,4040,40697a,130.0,80.0,35.0,True
mot_40697b,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.773,0.1892,True,good,,4040,40697b,95.0,70.0,30.0,True
mot_40713,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,4040,40713,105.0,70.0,30.0,True
mot_40714,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.707,0.0819,True,good,,4040,40714,95.0,70.0,20.0,True
mot_40724,motza,EPPNB,EGD,0.113,0.9452,True,GolluDag,2.738,0.4338,True,repeat_divergent,"Rb,Nb",4037,40724,102.5,75.0,25.0,False
mot_40724a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4037,40724a,90.0,65.0,20.0,True
mot_40724b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4037,40724b,90.0,60.0,20.0,True
mot_40727a,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4037,40727a,90.0,60.0,20.0,True
mot_40727b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,8.01,0.0458,False,repeat_divergent,Zr,4037,40727b,85.0,70.0,20.0,True
mot_40729,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4040,40729,90.0,65.0,20.0,True
mot_40739,motza,EPPNB,GolluDag,9.311,0.0095,False,GolluDag,11.788,0.0081,False,good,,4097,40739,85.0,62.5,20.0,True
mot_40741,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4037,40741,80.0,60.0,20.0,True
mot_40743,motza,EPPNB,GolluDag,11.766,0.0028,False,GolluDag,15.319,0.0016,False,repeat_divergent,Rb,4040,40743,82.5,57.5,20.0,True
mot_40760,motza,EPPNB,EGD,2.77,0.2503,True,EGD,3.22,0.359,True,repeat_divergent,"Rb,Zr,Nb",4037,40760,93.33,65.83,25.0,True
mot_40764,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4040,40764,85.0,60.0,20.0,True
mot_40769,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4040,40769,95.0,70.0,25.0,True
mot_40769CTE,motza,EPPNB,GolluDag,13.107,0.0014,False,GolluDag,17.602,0.0005,False,repeat_divergent,Zr,4040,40769CTE,80.0,55.0,20.0,True
mot_40783,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,4.204,0.2403,True,good,,4040,40783,115.0,75.0,30.0,True
mot_40789,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4040,40789,80.0,60.0,20.0,True
mot_40802,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4051,40802,80.0,60.0,20.0,True
mot_40809,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,8.01,0.0458,False,good,,4030,40809,85.0,70.0,20.0,True
mot_40809CTE,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4030,40809CTE,80.0,60.0,20.0,True
mot_40810,motza,EPPNB,GolluDag,2.483,0.2889,True,GolluDag,3.641,0.303,True,good,,4050,40810,115.0,80.0,30.0,True
mot_40814,motza,EPPNB,GolluDag,2.066,0.3559,True,GolluDag,2.606,0.4564,True,repeat_divergent,Zr,4050,40814,100.0,100.0,30.0,True
mot_40816,motza,EPPNB,GolluDag,9.311,0.0095,False,GolluDag,11.314,0.0101,False,good,,4050,40816,87.5,62.5,20.0,True
mot_40822,motza,EPPNB,GolluDag,9.311,0.0095,False,GolluDag,11.788,0.0081,False,good,,4050,40822,85.0,62.5,20.0,True
mot_40822CTE,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,11.491,0.0093,False,repeat_divergent,Zr,4050,40822CTE,80.0,65.0,20.0,True
mot_40822a,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.731,0.1926,True,good,,4050,40822a,110.0,70.0,30.0,True
mot_40822b,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.435,0.3293,True,good,,4050,40822b,105.0,75.0,30.0,True
mot_40822c,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,4050,40822c,105.0,70.0,30.0,True
mot_40822d,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.773,0.1892,True,good,,4050,40822d,95.0,70.0,30.0,True
mot_40822e,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.719,0.2935,True,good,,4050,40822e,110.0,75.0,30.0,True
mot_40822f,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.707,0.0819,True,good,,4050,40822f,95.0,70.0,20.0,True
mot_40831,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4052,40831,80.0,60.0,20.0,True
mot_40831a,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.719,0.2935,True,good,,4052,40831a,110.0,75.0,30.0,True
mot_40831b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4052,40831b,90.0,70.0,20.0,True
mot_40835,motza,EPPNB,EGD,0.989,0.61,True,EGD,1.104,0.7761,True,repeat_divergent,"Rb,Zr,Nb",4050,40835,92.5,70.0,25.0,True
mot_40848,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,11.118,0.0111,False,good,,4052,40848,81.67,65.0,20.0,True
mot_40866,motza,EPPNB,GolluDag,7.162,0.0279,False,GolluDag,8.756,0.0327,False,good,,4037,40866,87.5,67.5,20.0,True
mot_40871a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4052,40871a,85.0,65.0,20.0,True
mot_40871b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.357,0.0955,True,good,,4052,40871b,100.0,70.0,20.0,True
mot_40874a,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4052,40874a,95.0,70.0,25.0,True
mot_40874b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4052,40874b,80.0,60.0,20.0,True
mot_40884,motza,EPPNB,GolluDag,7.162,0.0279,False,GolluDag,9.182,0.027,False,repeat_divergent,Zr,4052,40884,85.0,67.5,20.0,True
mot_40902,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,repeat_divergent,Zr,4052,40902,90.0,70.0,20.0,True
mot_40902a,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,"Rb,Zr,Nb",4052,40902a,100.0,70.0,25.0,False
mot_40902b,motza,EPPNB,EGD,0.113,0.9452,True,EGD,1.456,0.6924,True,repeat_divergent,"Rb,Zr,Nb",4052,40902b,95.0,75.0,25.0,True
mot_40916BS,motza,EPPNB,EGD,0.113,0.9452,True,GolluDag,2.755,0.4309,True,beam_minimal+repeat_divergent,"Rb,Nb",4058,40916BS,100.0,75.0,25.0,False
mot_40918,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4052,40918,85.0,65.0,20.0,True
mot_40935,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.352,0.3405,True,repeat_divergent,Rb,4052,40935,100.0,75.0,30.0,True
mot_40935a,motza,EPPNB,GolluDag,7.789,0.0204,False,GolluDag,8.434,0.0378,False,good,,4052,40935a,95.0,60.0,30.0,True
mot_40935b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.707,0.0819,True,good,,4052,40935b,95.0,70.0,20.0,True
mot_40935c,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4052,40935c,90.0,60.0,20.0,True
mot_40945a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,8.943,0.0301,False,repeat_divergent,Zr,4053,40945a,95.0,65.0,20.0,True
mot_40945b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.707,0.0819,True,good,,4053,40945b,95.0,70.0,20.0,True
mot_40953,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,15.719,0.0013,False,good,,4052,40953,75.0,60.0,20.0,True
mot_40977,motza,EPPNB,EGD,6.862,0.0324,False,EGD,8.58,0.0354,False,repeat_divergent,Nb,4059,40977,95.0,60.0,25.0,True
mot_40977CTE,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4059,40977CTE,95.0,70.0,25.0,True
mot_40984a,motza,EPPNB,GolluDag,2.483,0.2889,True,GolluDag,4.423,0.2192,True,beam_minimal+repeat_divergent,"Rb,Zr",4050,40984a,120.0,80.0,30.0,True
mot_40984b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4050,40984b,85.0,60.0,20.0,True
mot_40989,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4050,40989,100.0,70.0,30.0,True
mot_40991,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,40991,90.0,60.0,20.0,True
mot_40997,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4060,40997,80.0,60.0,20.0,True
mot_41003,motza,EPPNB,GolluDag,4.511,0.1048,True,GolluDag,5.277,0.1526,True,good,,4050,41003,90.0,75.0,20.0,True
mot_41005a,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4050,41005a,90.0,70.0,20.0,True
mot_41005b,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,8.943,0.0301,False,repeat_divergent,Zr,4050,41005b,95.0,65.0,20.0,True
mot_41009a,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4059,41009a,85.0,60.0,20.0,True
mot_41009b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4059,41009b,90.0,70.0,20.0,True
mot_41019,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4050,41019,90.0,70.0,20.0,True
mot_41021,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41021,90.0,60.0,20.0,True
mot_41024,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4050,41024,85.0,65.0,20.0,True
mot_41024a,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4050,41024a,85.0,60.0,20.0,True
mot_41024b,motza,EPPNB,EGD,0.113,0.9452,True,EGD,1.456,0.6924,True,repeat_divergent,Nb,4050,41024b,95.0,75.0,25.0,True
mot_41024c,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,Nb,4050,41024c,100.0,70.0,25.0,False
mot_41026,motza,EPPNB,EGD,0.113,0.9452,True,EGD,0.45,0.9298,True,repeat_divergent,"Rb,Nb",4037,41026,90.0,75.0,25.0,True
mot_41026a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4037,41026a,90.0,65.0,20.0,True
mot_41026b,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.719,0.2935,True,good,,4037,41026b,110.0,75.0,30.0,True
mot_41031a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4050,41031a,90.0,65.0,20.0,True
mot_41031b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.707,0.0819,True,good,,4050,41031b,95.0,70.0,20.0,True
mot_41031c,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41031c,90.0,60.0,20.0,True
mot_41037,motza,EPPNB,GolluDag,7.084,0.029,False,GolluDag,8.431,0.0379,False,repeat_divergent,Nb,4050,41037,90.0,63.33,23.33,True
mot_41042,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,Nb,4050,41042,100.0,70.0,25.0,False
mot_41042a,motza,EPPNB,EGD,0.113,0.9452,True,EGD,1.456,0.6924,True,repeat_divergent,Nb,4050,41042a,95.0,75.0,25.0,True
mot_41042b,motza,EPPNB,GolluDag,2.483,0.2889,True,GolluDag,3.059,0.3826,True,good,,4050,41042b,110.0,80.0,30.0,True
mot_41047,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,4.204,0.2403,True,good,,4050,41047,115.0,75.0,30.0,True
mot_41053a,motza,EPPNB,GolluDag,6.754,0.0341,False,GolluDag,7.693,0.0528,True,repeat_divergent,"Rb,Nb",4050,41053a,92.5,65.0,22.5,True
mot_41053b,motza,EPPNB,GolluDag,9.311,0.0095,False,GolluDag,12.312,0.0064,False,good,,4050,41053b,82.5,62.5,20.0,True
mot_41055,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4050,41055,80.0,60.0,20.0,True
mot_41058,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4050,41058,95.0,70.0,25.0,True
mot_41061,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41061,90.0,60.0,20.0,True
mot_41067,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41067,90.0,60.0,20.0,True
mot_41070A,motza,EPPNB,EGD,0.113,0.9452,True,GolluDag,2.755,0.4309,True,repeat_divergent,Nb,4050,41070A,100.0,75.0,25.0,False
mot_41070b,motza,EPPNB,GolluDag,1.664,0.4353,True,GolluDag,5.725,0.1258,True,good,,4050,41070b,125.0,90.0,30.0,True
mot_41085a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4050,41085a,90.0,65.0,20.0,True
mot_41085b,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4050,41085b,100.0,70.0,30.0,True
mot_41095a,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41095a,90.0,60.0,20.0,True
mot_41095b,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,4050,41095b,105.0,70.0,30.0,True
mot_41095c,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.352,0.3405,True,good,,4050,41095c,100.0,75.0,30.0,True
mot_41097BS,motza,EPPNB,EGD,3.238,0.1981,True,GolluDag,6.101,0.1068,True,repeat_divergent,"Zr,Nb",4050,41097BS,100.0,65.0,25.0,False
mot_41106,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4050,41106,90.0,60.0,20.0,True
mot_41113a,motza,EPPNB,EGD,3.373,0.1851,True,EGD,3.845,0.2786,True,repeat_divergent,Nb,4050,41113a,96.67,70.0,26.67,True
mot_41121,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,Nb,4062,41121,100.0,70.0,25.0,False
mot_41123CTE,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,8.943,0.0301,False,repeat_divergent,Zr,4064,41123CTE,95.0,65.0,20.0,True
mot_41129,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4062,41129,85.0,65.0,20.0,True
mot_41131,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4063,41131,100.0,70.0,30.0,True
mot_41131CTE,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,15.019,0.0018,False,good,,4063,41131CTE,77.5,60.0,20.0,True
mot_41135,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,3.719,0.2935,True,good,,4064,41135,110.0,75.0,30.0,True
mot_41135CTE,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4064,41135CTE,80.0,60.0,20.0,True
mot_41135PE,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4064,41135PE,85.0,60.0,20.0,True
mot_41137,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4062,41137,80.0,60.0,20.0,True
mot_4113b,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,6.357,0.0955,True,good,,4050,4113b,100.0,70.0,20.0,True
mot_41150,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,15.719,0.0013,False,good,,4062,41150,75.0,60.0,20.0,True
mot_41153,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4062,41153,85.0,60.0,20.0,True
mot_41157,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4065,41157,85.0,65.0,20.0,True
mot_41157a,motza,EPPNB,GolluDag,2.483,0.2889,True,GolluDag,3.059,0.3826,True,good,,4065,41157a,110.0,80.0,30.0,True
mot_41157b,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4065,41157b,90.0,65.0,20.0,True
mot_41157c,motza,EPPNB,GolluDag,2.066,0.3559,True,GolluDag,2.864,0.413,True,repeat_divergent,Zr,4065,41157c,102.5,100.0,30.0,True
mot_41160,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,Nb,4050,41160,95.0,70.0,25.0,True
mot_41163a,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4062,41163a,90.0,70.0,20.0,True
mot_41163b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4062,41163b,85.0,60.0,20.0,True
mot_41163c,motza,EPPNB,GolluDag,4.511,0.1048,True,GolluDag,5.277,0.1526,True,good,,4062,41163c,90.0,75.0,20.0,True
mot_41173,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,4062,41173,105.0,70.0,30.0,True
mot_41178,motza,EPPNB,GolluDag,5.743,0.0566,True,GolluDag,9.042,0.0287,False,repeat_divergent,Nb,4069,41178,125.0,80.0,35.0,True
mot_41181,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.368,0.2243,True,repeat_divergent,"Rb,Zr,Nb",4062,41181,97.5,70.0,25.0,False
mot_41196,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,10.441,0.0152,False,repeat_divergent,Zr,4070,41196,85.0,65.0,20.0,True
mot_41198,motza,EPPNB,GolluDag,2.358,0.3076,True,GolluDag,6.049,0.1093,True,good,,4070,41198,117.5,102.5,30.0,True
mot_41204a,motza,EPPNB,EGD,0.989,0.61,True,EGD,1.269,0.7364,True,repeat_divergent,Nb,4050,41204a,90.0,70.0,25.0,True
mot_41204b,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4050,41204b,90.0,65.0,20.0,True
mot_41211,motza,EPPNB,GolluDag,3.351,0.1872,True,GolluDag,4.204,0.2403,True,good,,4062,41211,115.0,75.0,30.0,True
mot_41217,motza,EPPNB,GolluDag,9.383,0.0092,False,GolluDag,12.717,0.0053,False,repeat_divergent,"Rb,Nb",4070,41217,81.67,60.0,21.67,True
mot_41217a,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4070,41217a,90.0,65.0,20.0,True
mot_41217b,motza,EPPNB,EGD,0.113,0.9452,True,EGD,1.456,0.6924,True,repeat_divergent,"Sr,Nb",4070,41217b,95.0,75.0,25.0,True
mot_41217c,motza,EPPNB,EGD,0.989,0.61,True,GolluDag,4.252,0.2355,True,repeat_divergent,Nb,4070,41217c,100.0,70.0,25.0,False
mot_41217d,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.731,0.1926,True,good,,4070,41217d,110.0,70.0,30.0,True
mot_41217e,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4070,41217e,90.0,65.0,20.0,True
mot_41220,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4070,41220,80.0,60.0,20.0,True
mot_41241,motza,EPPNB,EGD,1.942,0.3787,True,EGD,2.196,0.5326,True,repeat_divergent,"Rb,Nb",4071,41241,90.0,67.5,25.0,True
mot_41241a,motza,EPPNB,GolluDag,6.538,0.0381,False,GolluDag,15.129,0.0017,False,beam_minimal+repeat_divergent,Zr,4071,41241a,125.0,120.0,30.0,True
mot_41241b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4071,41241b,90.0,60.0,20.0,True
mot_41243,motza,EPPNB,GolluDag,0.825,0.6619,True,GolluDag,1.206,0.7515,True,repeat_divergent,"Zr,Nb",4070,41243,105.0,87.5,27.5,True
mot_41244,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,11.491,0.0093,False,repeat_divergent,Zr,4071,41244,80.0,65.0,20.0,True
mot_41253,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,9.591,0.0224,False,repeat_divergent,Zr,4071,41253,90.0,65.0,20.0,True
mot_41253PE,motza,EPPNB,GolluDag,13.107,0.0014,False,GolluDag,16.358,0.001,False,repeat_divergent,Zr,4071,41253PE,85.0,55.0,20.0,True
mot_41256CTE,motza,EPPNB,EGD,0.989,0.61,True,EGD,2.452,0.4841,True,repeat_divergent,"Zr,Nb",4070,41256CTE,95.0,70.0,25.0,True
mot_41267,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4071,41267,90.0,60.0,20.0,True
mot_41271,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4071,41271,100.0,70.0,30.0,True
mot_41279a,motza,EPPNB,GolluDag,2.746,0.2534,True,GolluDag,2.804,0.4229,True,repeat_divergent,Nb,4072,41279a,97.5,75.0,27.5,True
mot_41279b,motza,EPPNB,EGD,1.942,0.3787,True,GolluDag,5.273,0.1529,True,repeat_divergent,Nb,4072,41279b,97.5,67.5,25.0,False
mot_41279c,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4072,41279c,90.0,60.0,20.0,True
mot_41282a,motza,EPPNB,GolluDag,9.311,0.0095,False,GolluDag,11.314,0.0101,False,good,,4071,41282a,87.5,62.5,20.0,True
mot_41282b,motza,EPPNB,GolluDag,6.004,0.0497,False,GolluDag,6.246,0.1002,True,good,,4071,41282b,97.5,65.0,30.0,True
mot_41285,motza,EPPNB,EGD,4.878,0.0872,True,EGD,5.051,0.1681,True,repeat_divergent,Nb,4070,41285,92.5,62.5,25.0,True
mot_41293,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,4073,41293,80.0,60.0,20.0,True
mot_41295,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.544,0.2084,True,good,,4070,41295,105.0,70.0,30.0,True
mot_41295a,motza,EPPNB,GolluDag,7.084,0.029,False,GolluDag,8.966,0.0297,False,repeat_divergent,Nb,4070,41295a,86.67,63.33,23.33,True
mot_41295b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4070,41295b,90.0,60.0,20.0,True
mot_41295c,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4070,41295c,85.0,60.0,20.0,True
mot_41310,motza,EPPNB,EGD,0.113,0.9452,True,EGD,1.456,0.6924,True,repeat_divergent,Nb,4070,41310,95.0,75.0,25.0,True
mot_41352,motza,EPPNB,GolluDag,12.562,0.0019,False,GolluDag,17.473,0.0006,False,good,,4070,41352,78.0,56.0,20.0,True
mot_41354,motza,EPPNB,GolluDag,6.754,0.0341,False,GolluDag,8.408,0.0383,False,repeat_divergent,"Rb,Nb",4070,41354,87.5,65.0,22.5,True
mot_41357,motza,EPPNB,GolluDag,6.202,0.045,False,GolluDag,7.258,0.0641,True,good,,4080,41357,90.0,70.0,20.0,True
mot_41361,motza,EPPNB,EGD,3.589,0.1662,True,EGD,4.084,0.2525,True,repeat_divergent,"Rb,Zr,Nb",4075,41361,96.67,68.33,26.67,True
mot_41363,motza,EPPNB,GolluDag,3.9,0.1423,True,GolluDag,4.038,0.2574,True,good,,4070,41363,107.5,72.5,30.0,True
mot_41364a,motza,EPPNB,GolluDag,7.497,0.0235,False,GolluDag,8.773,0.0325,False,good,,4076,41364a,90.0,66.67,20.0,True
mot_41364b,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,4076,41364b,85.0,60.0,20.0,True
mot_41372,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,11.491,0.0093,False,repeat_divergent,Zr,4076,41372,80.0,65.0,20.0,True
mot_41372a,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.558,0.2072,True,good,,4076,41372a,100.0,70.0,30.0,True
mot_41372b,motza,EPPNB,GolluDag,4.525,0.1041,True,GolluDag,4.731,0.1926,True,good,,4076,41372b,110.0,70.0,30.0,True
mot_41531,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,4070,41531,90.0,60.0,20.0,True
mot_45716,motza,EPPNB,GolluDag,2.483,0.2889,True,GolluDag,3.059,0.3826,True,good,,4040,45716,110.0,80.0,30.0,True
mot_50024,motza,EPPNB,GolluDag,8.198,0.0166,False,GolluDag,11.491,0.0093,False,repeat_divergent,Zr,k17a,50024,80.0,65.0,20.0,True
mot_50030,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,13.223,0.0042,False,good,,5044,50030,85.0,60.0,20.0,True
mot_50053,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,511,50053,80.0,60.0,20.0,True
mot_50085,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,14.37,0.0024,False,good,,5016,50085,80.0,60.0,20.0,True
mot_50085BS,motza,EPPNB,GolluDag,10.5,0.0052,False,GolluDag,12.277,0.0065,False,good,,5016,50085BS,90.0,60.0,20.0,True
